"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"April29.csv",26,5,"Census","tvae","test_f1_binary_end",0.571165361584523,"Adult","end","Adult alias; not an independent dataset","Binary F1",TRUE,0.626,-0.0548346384154768
"April29.csv",16,6,"Census_Kdd","ctgan","test_f1_binary_end",0.662011173184358,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",TRUE,0.601,0.0610111731843576
"April29.csv",26,6,"Census_Kdd","tvae","test_f1_binary_end",0.569974554707379,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",TRUE,0.626,-0.0560254452926209
"April29.csv",16,9,"Adult","ctgan","test_f1_binary_max",0.667211774325429,"Adult","max","Historical synthetic-only pivot","Binary F1",TRUE,0.601,0.0662117743254292
"April29.csv",26,9,"Adult","tvae","test_f1_binary_max",0.635050741608119,"Adult","max","Historical synthetic-only pivot","Binary F1",TRUE,0.626,0.0090507416081187
"April29.csv",16,10,"Census","ctgan","test_f1_binary_max",0.664936102236422,"Adult","max","Adult alias; not an independent dataset","Binary F1",TRUE,0.601,0.0639361022364218
"April29.csv",26,10,"Census","tvae","test_f1_binary_max",0.597544338,"Adult","max","Adult alias; not an independent dataset","Binary F1",TRUE,0.626,-0.028455662
"April29.csv",16,11,"Census_Kdd","ctgan","test_f1_binary_max",0.665055388,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",TRUE,0.601,0.064055388
"April29.csv",26,11,"Census_Kdd","tvae","test_f1_binary_max",0.637504754659566,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",TRUE,0.626,0.0115047546595664
"April29.csv",16,19,"Adult","ctgan","test_f1_macro_end",0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",26,19,"Adult","tvae","test_f1_macro_end",0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",16,20,"Census","ctgan","test_f1_macro_end",0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",26,20,"Census","tvae","test_f1_macro_end",0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",16,21,"Census_Kdd","ctgan","test_f1_macro_end",0.770677951264543,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",26,21,"Census_Kdd","tvae","test_f1_macro_end",0.721880481237185,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",16,22,"Covertype","ctgan","test_f1_macro_end",0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026
"April29.csv",26,22,"Covertype","tvae","test_f1_macro_end",0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814
"April29.csv",16,23,"MNIST12","ctgan","test_f1_macro_end",0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",26,23,"MNIST12","tvae","test_f1_macro_end",0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",16,24,"MNIST28","ctgan","test_f1_macro_end",0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",26,24,"MNIST28","tvae","test_f1_macro_end",0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",16,32,"Adult","ctgan","test_f1_macro_max",0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",26,32,"Adult","tvae","test_f1_macro_max",0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",16,33,"Census","ctgan","test_f1_macro_max",0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",26,33,"Census","tvae","test_f1_macro_max",0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",16,34,"Census_Kdd","ctgan","test_f1_macro_max",0.773501641468272,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",26,34,"Census_Kdd","tvae","test_f1_macro_max",0.749664368050386,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",16,35,"Covertype","ctgan","test_f1_macro_max",0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426
"April29.csv",26,35,"Covertype","tvae","test_f1_macro_max",0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314
