"dataset_label","method","metric","source_older","source_row_older","source_col_older","value_older","dataset_older","endpoint_older","provenance_note_older","paper_metric_older","matches_paper_metric_older","paper_score_older","difference_from_paper_older","source_April29","source_row_April29","source_col_April29","value_April29","dataset_April29","endpoint_April29","provenance_note_April29","paper_metric_April29","matches_paper_metric_April29","paper_score_April29","difference_from_paper_April29","absolute_difference"
"Covertype","tvae","test_f1_macro_max","April02.csv",26,21,0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314,"April29.csv",26,35,0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314,0
"Covertype","tvae","test_f1_macro_max","Mar23.csv",26,17,0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314,"April29.csv",26,35,0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314,0
"Covertype","tvae","test_f1_micro_end","April02.csv",26,32,0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",26,48,0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","tvae","test_f1_micro_end","Mar23.csv",26,26,0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",26,48,0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","tvae","test_f1_micro_max","April02.csv",26,43,0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",26,61,0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","tvae","test_f1_micro_max","Mar23.csv",26,35,0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",26,61,0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"MNIST12","ctgan","test_f1_macro_end","April02.csv",16,11,0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,23,0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","ctgan","test_f1_macro_end","Mar23.csv",16,9,0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,23,0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","ctgan","test_f1_macro_max","April02.csv",16,22,0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,36,0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","ctgan","test_f1_macro_max","Mar23.csv",16,18,0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,36,0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","ctgan","test_f1_micro_end","Mar23.csv",16,27,0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386,"April29.csv",16,49,0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386,0
"MNIST12","ctgan","test_f1_micro_end","April02.csv",16,33,0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386,"April29.csv",16,49,0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386,0
"MNIST12","ctgan","test_f1_micro_max","April02.csv",16,44,0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604,"April29.csv",16,62,0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604,0
"MNIST12","ctgan","test_f1_micro_max","Mar23.csv",16,36,0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604,"April29.csv",16,62,0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604,0
"MNIST12","tvae","test_f1_macro_end","April02.csv",26,11,0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,23,0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","tvae","test_f1_macro_end","Mar23.csv",26,9,0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,23,0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","tvae","test_f1_macro_max","April02.csv",26,22,0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,36,0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","tvae","test_f1_macro_max","Mar23.csv",26,18,0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,36,0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST12","tvae","test_f1_micro_end","April02.csv",26,33,0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289,"April29.csv",26,49,0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289,0
"MNIST12","tvae","test_f1_micro_end","Mar23.csv",26,27,0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289,"April29.csv",26,49,0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289,0
"MNIST12","tvae","test_f1_micro_max","April02.csv",26,44,0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322,"April29.csv",26,62,0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322,0
"MNIST12","tvae","test_f1_micro_max","Mar23.csv",26,36,0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322,"April29.csv",26,62,0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322,0
"MNIST28","ctgan","test_f1_macro_end","April02.csv",16,12,0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,24,0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","ctgan","test_f1_macro_end","Mar23.csv",16,10,0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,24,0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","ctgan","test_f1_macro_max","April02.csv",16,23,0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,37,0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
