global_round,train_loss,train_mae,train_mse,train_r2,train_mape,dev_loss,dev_mae,dev_mse,dev_r2,dev_mape,test_loss,test_mae,test_mse,test_r2,test_mape
12,38952789.854210526,1709.3253640658056,38952790.509132035,-0.07599377394805051,0.9808583285316778,15414953.891025642,1666.492871896125,15414953.948330479,-0.20573782091357096,0.9638937937979747,131110539.90087022,3264.692235421952,131110535.64972028,-0.0865048678185929,0.9625039754845811
13,38915463.66131579,1704.5819530539657,38915464.70520877,-0.07496272245972091,0.9778751625023833,15373082.288461538,1659.2158155526267,15373082.446402984,-0.20246268602431594,0.9588490755877432,131018385.98486568,3255.296724979375,131018385.26328069,-0.08574122328810718,0.9564731689062963
14,38867150.476052634,1697.2015402059633,38867150.24872025,-0.07362813118413203,0.9726627027637691,15315298.942307692,1646.7146263057157,15315298.530549394,-0.19794290263614012,0.949204614432486,130913578.66313532,3241.9709891173998,130913569.65995617,-0.08487262289172337,0.9473781021351133
15,38825434.552894734,1692.4856188581264,38825433.301307425,-0.07247578304430347,0.9701416272972615,15263417.641025642,1638.2379446318164,15263417.388169304,-0.1938848265776869,0.9437858001808913,130823891.06848279,3232.618094353458,130823882.04222222,-0.08412938717257923,0.9426170446955449
16,38795445.69973684,1688.2928790180276,38795444.605025455,-0.07164740463889374,0.9675793991923152,15225366.301282052,1629.053983700984,15225366.186350673,-0.19090851063683334,0.9370978896418691,130749180.0156388,3221.9708307054907,130749187.29641323,-0.08351039645211755,0.9360607553160158
17,38750558.91421053,1684.0693085846278,38750557.90567797,-0.0704074983728804,0.9646789265311215,15172278.551282052,1619.6391254219088,15172279.025819045,-0.18675610139367582,0.9307826072244783,130648227.12246186,3213.121642850047,130648227.61904854,-0.08267374987473497,0.9313844093573229
18,38698230.47421052,1676.2064375427506,38698231.557233565,-0.06896208651910296,0.9589852127272716,15113634.07051282,1605.649677134101,15113633.933628615,-0.18216895790288246,0.9207365582574295,130538107.38100643,3199.785367553457,130538109.04852965,-0.08176120411849142,0.9233858155287612
19,38644805.00736842,1670.0898138425837,38644804.572774604,-0.06748627177291189,0.9552531339390539,15044845.826923076,1591.8324096796866,15044846.184970198,-0.17678846890168565,0.9117004616185981,130410789.65720771,3185.804996115373,130410786.63020873,-0.08070609114375915,0.916250825378492
20,38607666.94789474,1662.9177109224595,38607667.181626886,-0.06646042481475245,0.9504948065351595,15011032.185897436,1583.2724627155917,15011031.629434915,-0.17414353797014104,0.9058283392239406,130346202.16370286,3177.427695689022,130346204.75179976,-0.08017090512749814,0.9115886660705097
21,38566514.11894737,1656.2142597796906,38566515.11710393,-0.0653236804471975,0.9443437676296557,14963589.967948718,1574.042653171477,14963589.64372976,-0.17043268702269843,0.8992203895217847,130273398.00504477,3169.1566222264437,130273394.28050546,-0.07956752927293853,0.9049475835986177
22,38498102.43368421,1646.1346589716607,38498101.57488429,-0.06343389169214508,0.9381235805477034,14881939.057692308,1557.3717760532402,14881939.118378453,-0.16404608821458488,0.8881869068588187,130106050.3069744,3152.044209843822,130106037.54891351,-0.07818065442999944,0.8965264485094856
23,38458091.95842105,1640.5871920450825,38458093.06469664,-0.062328735750704745,0.9343486600180385,14842299.01923077,1550.1919232242,14842298.75391914,-0.16094547002113457,0.8838129876821489,130044824.56400555,3147.1223254055253,130044816.38355745,-0.07767331843412939,0.8949738638332216
24,38385126.930526316,1628.4480587373516,38385125.918023534,-0.060313162681437715,0.9260274926028678,14766881.288461538,1535.8356567351864,14766881.718569264,-0.15504644676311363,0.8747673080615058,129908183.92584185,3132.8602947738345,129908187.99029674,-0.07654108742291155,0.887176370815491
25,38326210.63368421,1622.0502506381351,38326211.58065324,-0.05868577066720326,0.9218499757197888,14713842.044871794,1526.9652109268384,14713841.817170605,-0.15089773406839857,0.8705351966146347,129771563.83049566,3117.672945753625,129771564.70030348,-0.07540889870215417,0.8794236260377533
26,38266294.249736845,1611.0103437259636,38266294.66803176,-0.057030684495140704,0.9140220119661442,14648335.891025642,1511.5525958629755,14648336.148743434,-0.14577396515078722,0.8595058252291378,129652211.75078824,3107.6872241197852,129652201.12671556,-0.0744197401795319,0.8741783627925974
27,38200734.76342105,1597.1160659276497,38200735.90240062,-0.05521975329548012,0.9044408569430993,14589044.259615384,1497.1802118852352,14589044.5894691,-0.1411362558382825,0.8494345859308459,129499481.89305082,3088.8388047003627,129499479.81593789,-0.07315414816011656,0.8626388031910408
28,38138111.59131579,1589.2340018298123,38138111.42472769,-0.05348987599549537,0.8983674288413083,14521215.157051282,1487.0955108014437,14521214.882671276,-0.13583070363606708,0.8446259223301033,129440146.4643713,3082.4444570427117,129440148.01468326,-0.07266246920723796,0.8606671818713673
29,38082711.910789475,1581.2390418916,38082712.398806624,-0.051959587505383764,0.8937056400204244,14465970.051282052,1476.0823984039137,14465969.934388485,-0.13150951501738883,0.8382168400148297,129318282.50145037,3071.4647008217753,129318281.34405828,-0.07165256767489558,0.8560034445242573
30,38013797.90394737,1568.8075097169374,38013797.65835397,-0.05005595414071062,0.8826335589185875,14413027.163461538,1468.7651482755557,14413027.502000203,-0.12736842622298328,0.83408997770801,129190206.36423257,3060.8088685987213,129190215.24069035,-0.07059129182835666,0.8512437955416718
31,37980425.20736842,1563.5284828366732,37980424.385739475,-0.04913408351013149,0.8805102113639584,14392354.237179488,1465.1164479263318,14392354.46172638,-0.12575140766976745,0.8321741905205408,129141174.29940724,3057.2449599126653,129141172.45134461,-0.07018487727828648,0.8490686900692672
32,37848706.73,1545.6577387288996,37848706.384324394,-0.04549563431080461,0.8681908102951515,14290799.631410256,1450.1129414970294,14290799.608933892,-0.11780791803498492,0.8264532521140929,128952087.66351369,3040.013712770056,128952094.40454055,-0.06861799924493694,0.8430988867191296
33,37845398.51789474,1535.5865127308746,37845397.77822223,-0.04540424061295023,0.8583384389281716,14281684.173076924,1440.8826809372658,14281684.839062985,-0.11709497248878886,0.8160002919850322,128905963.58052717,3029.88658433352,128905962.2840595,-0.06823570522701461,0.8322426868971596
34,37784506.737105265,1527.860296823061,37784506.292173,-0.04372223377803386,0.8491391611195584,14224811.92948718,1433.4461187047837,14224811.723528367,-0.11264643072712488,0.8139380467478559,128844415.33762139,3023.2582933818244,128844406.33090372,-0.06772559486543672,0.8300377218878532
35,37746517.795,1517.2794131090138,37746517.125651605,-0.04267285821032174,0.8389346176237392,14195181.608974358,1427.7169019595171,14195181.840891758,-0.11032881951375773,0.8108327228666475,128717275.75053601,3014.450620370519,128717280.31364563,-0.06667210945411695,0.8282735990664866
36,37605794.26605263,1501.284421120129,37605795.00693573,-0.03878568808422855,0.8297118024637666,14127663.512820512,1421.3499263738975,14127662.766669983,-0.10504756459109332,0.8108966798697771,128596671.83528818,3007.53857278024,128596667.6880898,-0.06567260011539444,0.8287091316382433
