global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
22,130892191.22285715,5251.002896848007,4.635113360097917,0.11589506281472584,130892190.91149767,146551394.10526314,5348.659791445948,1.935953092598612,0.052566904674649084,146551392.8147286,120748503.91171649,2529.8245593275574,0.9068849506990702,-0.0006353479370888593,120748503.1534903
23,127925772.8,5159.608346908034,5.174815928423369,0.13593159824305945,127925771.53051321,144430754.52631578,5269.933964046894,2.0363115404948084,0.0662765277906382,144430752.98007804,120210600.7466263,2549.292779386292,0.963040254703156,0.0038222010222230818,120210602.54296325
24,124111965.92,5063.849449098052,5.137544220584434,0.16169176098524507,124111966.18032908,140818530.52631578,5173.768049109825,2.0976752299103376,0.08962902346344848,140818528.76769182,120089103.32273932,2588.8519060796652,1.0332712260063601,0.004829036132014242,120089105.90317304
25,120657350.30857143,4947.269598174377,5.2814955819598906,0.18502580047235528,120657349.62654412,138217989.0526316,5062.244833464587,2.2946183420390756,0.10644113046331838,138217988.73047146,119653278.77109346,2662.8905197260947,1.1659193992814756,0.008440618825649393,119653289.5938946
26,117837078.05714285,4847.26617094,5.65905210230894,0.20407518930556434,117837077.80695443,136237768.0,4977.892026369411,2.485103670522184,0.11924293564240696,136237772.51383826,119573681.62214655,2747.852817842828,1.2966844543983986,0.009100320094929115,119573682.2314741
27,114440674.44571428,4778.8513013318025,5.955459400565722,0.22701602853758784,114440674.75327627,133819642.10526316,4918.245784654331,2.571106965749808,0.1348757808218335,133819643.73407972,119391547.74675243,2797.55701547277,1.3757885586322236,0.010609685220950515,119391544.37270777
28,110956837.71428572,4703.570483681416,6.34612773738539,0.25054743177494676,110956838.39470343,131063657.68421052,4852.646515076,2.7227174055222227,0.1526928340952759,131063656.01741615,119406058.78547105,2876.6969555765672,1.4785393850774524,0.01048940686237343,119406058.5828942
29,107119526.88,4637.984989197195,6.646184827307575,0.276466369513513,107119526.32459939,129090738.5263158,4806.976032289921,2.8420102923742916,0.16544746645184438,129090736.61453944,119350592.0797074,2956.5450265330887,1.5843980284843548,0.010949107919607903,119350585.61297208
30,104412475.95428571,4586.002238857687,6.915728889087298,0.29475100851235203,104412476.11152914,125494620.63157895,4753.0710527974325,2.891750281055217,0.18869582437374022,125494620.69783805,119496832.41619372,3034.7998517974956,1.6801104342318605,0.00973710281483997,119496840.49245122
31,100033241.18857142,4510.382956591616,7.256628192078712,0.3243303338916663,100033241.76757348,122589896.84210527,4699.138593618709,3.0091402151003424,0.2074744227785581,122589898.7022554,119827761.04224996,3124.7150806085897,1.7797340775252573,0.006994763943379501,119827763.55503456
