global_round,train_loss,train_mse,train_r2,train_mae,train_mape,dev_loss,dev_mse,dev_r2,dev_mae,dev_mape,test_loss,test_mse,test_r2,test_mae,test_mape
392,122081572.14285715,122081571.28259489,0.0287646453068251,2590.7523638833136,0.5787180443604969,175473015.87179488,175473001.41323736,-0.03392946177145295,2555.948290794324,0.512393324433502,126172754.62302938,126172762.4442943,-0.045585847868795604,2520.223904403165,0.5011791579532557
393,121193085.76190476,121193086.93346904,0.03583309472876983,2587.946510715144,0.5791068924142627,175487511.92307693,175487516.1301524,-0.03401498600211439,2556.2433622494723,0.5123576048433625,126205700.29764158,126205706.77272487,-0.04585885547287116,2520.0369703466286,0.5007542664633169
394,122081454.75,122081453.98185721,0.028765578507654377,2587.5469757063047,0.5781167667560156,175462935.69230768,175462940.18800566,-0.03387017859338681,2552.430024996782,0.511134270712968,126190760.49867575,126190761.38327454,-0.045735003958507825,2515.8586021574406,0.49946938372749444
395,121065866.23809524,121065864.91502237,0.036845225559923866,2582.6660952681586,0.5781878454503493,175441238.58974358,175441249.4545708,-0.0337423715338101,2551.796707477325,0.5111272049946487,126167056.34228781,126167059.22443691,-0.04553858563997015,2515.4792626956205,0.4997636606015637
396,120801829.16666667,120801828.35859226,0.03894580172258444,2582.7436959346137,0.5785467291290507,175415496.07692307,175415495.0878912,-0.033590620562065965,2551.460200645985,0.5110292168875898,126146518.07895069,126146519.25516888,-0.045368372190044415,2514.862431922977,0.4996201743463611
397,120368589.58333333,120368588.29956545,0.04239249771425191,2576.494771772907,0.5770707295130157,175406349.6153846,175406345.0612204,-0.03353670638680972,2546.501363473061,0.5099302466619098,126139309.18829612,126139311.84109724,-0.04530864479716601,2511.243537655543,0.49928202510820957
398,119514895.5595238,119514897.06228179,0.049184146141862395,2571.106771923247,0.5773783341616203,175388385.58974358,175388374.64438495,-0.03343082033450062,2544.283766850447,0.5097579911024378,126117411.68924202,126117410.19716726,-0.045127147233867904,2508.672258653952,0.49886393238005117
399,120859362.33333333,120859364.73081627,0.038488063848655885,2574.791855329559,0.578242631444625,175380442.69230768,175380445.28989297,-0.03338409865563241,2543.9012813996046,0.5103896897605531,126115362.02144028,126115365.61302902,-0.045110203892069656,2507.629556060033,0.4989412932531688
400,121951504.4404762,121951507.19915888,0.029799386544848705,2570.4753685068517,0.5772742715895918,175337286.4871795,175337299.44247395,-0.03312987286340019,2535.889752638646,0.5084427208611594,126084783.35527809,126084780.39907093,-0.0448567461231415,2499.258119415464,0.4964794185074597
401,121063923.10714285,121063924.22651485,0.03686066495238216,2566.9619153823173,0.5771397788958089,175340391.82051283,175340393.2358193,-0.03314810224377562,2536.3238788384656,0.5091538810887833,126073001.67789128,126073006.14292319,-0.04475917359354997,2500.291864597928,0.4978875099690907
402,120876227.42857143,120876227.82542706,0.0383539073702992,2560.6265185276666,0.5778787403733382,175254190.58974358,175254196.38328585,-0.03264020949316149,2529.681916518089,0.5084663473971793,125984800.96355152,125984800.0567825,-0.044028215234725554,2493.3808230187074,0.49686074237197203
403,120936611.53571428,120936614.76331611,0.037873491461302145,2558.3581459323564,0.5769219048696881,175226964.43589744,175226976.35108343,-0.032479822464856145,2527.4331769882106,0.507740023767233,125944210.63337117,125944212.22385049,-0.04369186638345823,2491.57040157792,0.49679400049502526
404,120496379.25,120496380.00760959,0.041375834645574705,2560.137554767586,0.5767569116247161,175262903.5128205,175262917.55300853,-0.03269159673931754,2529.1200414865443,0.5076710582101429,125986564.07995965,125986571.08134381,-0.044042891605296175,2493.706219841905,0.4967977874189338
405,119378100.0,119378101.44205981,0.05027244097072914,2549.835010781175,0.5767443294794603,175204245.41025642,175204232.088595,-0.032345807756703815,2522.8065328047824,0.5072884299078625,125952468.86669189,125952467.34254362,-0.043760276039479074,2488.097864881081,0.4966996693445922
406,120479041.20238096,120479045.01819675,0.041513745342612096,2555.445130864779,0.5772249497385531,175188980.07692307,175188976.03671443,-0.03225591540071404,2525.3850467388447,0.5078753064870616,125928266.80565014,125928264.58306909,-0.04355970927454744,2490.85141398035,0.49738701501977295
407,121438882.53571428,121438883.57195623,0.033877628536326476,2554.7913524678775,0.5776399475614445,175162679.66666666,175162686.2440104,-0.032101009569038164,2521.37721540989,0.507427331731771,125901160.30949679,125901167.37788527,-0.0433351564177491,2486.393374337812,0.49691310161108865
408,121556593.33333333,121556592.42899665,0.03294118086189779,2554.967693127337,0.5774025778711543,175160916.87179488,175160913.32056358,-0.03209056307430469,2520.54118341666,0.5065530152954812,125902894.914365,125902898.37563677,-0.043349501088632225,2485.319138922266,0.49587222217902444
409,120018485.32142857,120018485.34551789,0.045177785970137885,2547.8642115337507,0.578408613080533,175119153.87179488,175119147.35506198,-0.03184446788083539,2518.5130212857175,0.507275339856018,125844634.16546853,125844634.69286518,-0.04286667356729934,2482.4234628993695,0.4956819249965303
