global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
12,1468252.6762820513,-12.45335152025228,0.9789915394762526,1468252.670748938,1175.8750184872622,1469532.2852564103,-11.43158018747537,0.978689907473603,1469532.2936187498,1172.1671157687372,131517720.10367008,-0.08987916328927525,0.9849609568472132,131517718.07448916,3295.278770541691
13,1455525.6645299145,-12.336736083927248,0.9757168926723383,1455525.6617521814,1171.0628198264212,1456885.2275641025,-11.324591736565196,0.9753788596122803,1456885.2301492847,1167.3429788451729,131486624.56551898,-0.08962153694341213,0.9826043500858745,131486629.83070485,3290.90001449293
14,1441541.3009259258,-12.2085997406971,0.9719061858573976,1441541.3004661142,1165.6852027213304,1442936.9006410257,-11.206595260945111,0.9714848311352813,1442936.9123295106,1161.911251994223,131451313.95207466,-0.08932894568359862,0.9794900210715212,131451322.30660915,3285.5961306687373
15,1428037.070868946,-12.084862737241329,0.9681537755871924,1428037.0680433672,1160.3598099162534,1429676.326923077,-11.094416662515572,0.9677684364627199,1429676.3235259103,1156.6632135767827,131415680.62176819,-0.08903359035397762,0.9762913397324622,131415681.237139,3280.1824770459975
16,1409898.9508547008,-11.91866622191363,0.9626779781452934,1409898.9500337602,1153.0206953960633,1411790.891025641,-10.94311415142253,0.9621986464171379,1411790.9121137033,1149.2778482933988,131370732.48984739,-0.08866112769073653,0.9718613490013821,131370735.48426344,3273.2433816969005
17,1393266.6851851852,-11.766267609608756,0.9574679337084495,1393266.6878648708,1146.1469879673741,1395535.7243589743,-10.805602572159803,0.9570321442361543,1395535.7214279142,1142.5121978055895,131325915.43120192,-0.08828970442938444,0.9673004396634727,131325915.15792067,3266.275347393888
18,1375064.179131054,-11.599481092398847,0.9518870923189605,1375064.179072194,1138.5495266904568,1377440.0096153845,-10.652520974171761,0.9513971248070721,1377440.004840828,1134.8863420118637,131281531.37041241,-0.08792189249423177,0.9629951390685914,131281530.61693555,3259.279102369483
19,1358426.4654558403,-11.447032534270084,0.94663818831974,1358426.4659872851,1131.5921717518484,1361127.2275641025,-10.51452210536755,0.9461017811558378,1361127.2118465025,1127.9354076448362,131232248.2613192,-0.08751346372041202,0.958419709580609,131232244.76751475,3252.1326734181507
20,1339751.0512820513,-11.275912927623983,0.9404292185755219,1339751.0586661112,1123.5240405805696,1342665.5512820513,-10.358344854807093,0.9398452818212524,1342665.5593641894,1119.8635939469275,131182922.3533863,-0.08710467703614633,0.953248172232712,131182915.72838384,3244.5905471947376
21,1321577.2606837607,-11.109389531754722,0.9344071427876769,1321577.2660346495,1115.6803684991175,1324381.935897436,-10.203673737180052,0.9336516354710181,1324381.9462743558,1111.880880887471,131126236.47622651,-0.08663500009162739,0.9476366773569832,131126238.94984181,3235.957643393622
22,1298835.1452991453,-10.901007222893494,0.9264427115937919,1298835.135119409,1105.5136555092536,1302159.733974359,-10.015683863779865,0.9257423954137601,1302159.735930316,1101.8290151508124,131065999.08059023,-0.08613574268274404,0.9411260231879006,131065992.642398,3226.570350514845
23,1283988.0968660968,-10.764966370096305,0.9211856365053137,1283988.102753552,1098.9859798882194,1287752.7115384615,-9.893806944312932,0.9204721010092846,1287752.7123418043,1095.3622854582022,131022060.89620382,-0.08577167665817953,0.9365380669711474,131022060.12731563,3220.134577488708
24,1257882.757834758,-10.525767476936947,0.9118418904438049,1257882.7554582907,1087.0725135333264,1262314.9455128205,-9.678614836068245,0.9112622703554428,1262314.9363206944,1083.6655215224525,130947661.76592256,-0.08515517715138388,0.928159092197688,130947666.00082996,3208.0213792128015
25,1241792.5438034188,-10.378335577820678,0.9059413156400613,1241792.5433423591,1079.867782656204,1246207.6923076923,-9.542354809174315,0.9052501389277544,1246207.6911571447,1076.3809340805387,130893959.39866313,-0.08471004706260032,0.9228374337783719,130893951.33640203,3200.3247283030346
26,1222625.4266381767,-10.202710543485711,0.8986417679993253,1222625.4290865166,1071.0216893315146,1227344.2756410257,-9.382778889993691,0.8979041122205302,1227344.2833696073,1067.527001400884,130839472.69592635,-0.08425848823812254,0.9165126238497032,130839460.90464398,3191.7445360156776
27,1194127.28988604,-9.941586836901148,0.887562470914859,1194127.2828059043,1057.6985293361026,1199410.25,-9.146469555678216,0.8868694573725631,1199410.2482088958,1054.3276114135217,130758239.69025098,-0.08358539969682988,0.9070095307585886,130758238.07555005,3179.1065421304693
28,1172968.3846153845,-9.747711449617224,0.8787472048457389,1172968.3875861077,1047.774527652014,1178555.0208333333,-8.970043784075605,0.8780776808988162,1178555.0258729737,1044.4727757844405,130695433.14819019,-0.08306492564444445,0.8986736563764631,130695431.5168118,3169.122897446539
29,1149894.3034188035,-9.536287498990449,0.8693642337070587,1149894.3023144377,1036.8101091180263,1156005.5448717948,-8.779285390722308,0.8687446698912018,1156005.5498543158,1033.6148524868947,130627745.2044394,-0.0825041049967441,0.8905316606638579,130627756.26039898,3158.453804644439
30,1123039.0128205128,-9.29021697532511,0.8583371451047447,1123039.008819702,1023.9530930443112,1128965.3092948718,-8.550537099274358,0.8575764777364838,1128965.302651346,1020.6362263972943,130539101.52503468,-0.08176952731121379,0.88014375943976,130539113.4234648,3144.6339390552994
31,1102412.904380342,-9.101223552523516,0.8491879210264771,1102412.9144695546,1013.8009155157455,1108942.810897436,-8.381155788918063,0.8485265404741392,1108942.8033591958,1010.6193885956055,130480702.73275319,-0.08128551822051122,0.8723911819549965,130480707.15854973,3135.55143021136
32,1076185.048076923,-8.860902021094898,0.8379528898954273,1076185.0462816632,1000.9770918225291,1083020.0961538462,-8.161861408500855,0.8371965055720798,1083020.099328627,997.7421329120795,130404459.21856476,-0.08065362613660043,0.8622096440801561,130404455.5815451,3122.8145031206755
33,1049390.539173789,-8.615388464873359,0.8265644569006151,1049390.5383046216,987.6428452067056,1056318.1057692308,-7.935974566695844,0.8257158051819449,1056318.102983026,984.3444635638824,130321387.16433346,-0.07996530813444225,0.8526508905691869,130321394.98546928,3110.0366721978958
34,1025564.6066595442,-8.397075457904323,0.8167174078815359,1025564.6050374364,975.833901100264,1032893.6907051282,-7.737814600086731,0.8157892332000324,1032893.6898478491,972.5375589262217,130247236.05246563,-0.07935077713444594,0.8443020505221127,130247238.40231043,3098.205584490099
35,1002152.5302706553,-8.182554534551171,0.8062426696039984,1002152.5267779301,963.904561296912,1010284.7740384615,-7.546553384147664,0.8054278354017168,1010284.7753654879,960.7955299027456,130175008.00655821,-0.07875214094250582,0.8352439848766033,130174999.8747996,3086.6339921916415
36,972616.5794159544,-7.911921622329741,0.7931796546890802,972616.5783888979,948.6372574350434,981101.7083333334,-7.29967783038888,0.7922420423649076,981101.7114844334,945.4462561851893,130077203.7021062,-0.07794164244509427,0.8240477230244861,130077195.534215,3071.17802584693
37,946670.8673433048,-7.674185467350666,0.7816700234248729,946670.8693247923,935.1225620409703,955782.5993589744,-7.085489616713957,0.7807077636132173,955782.6054527703,931.9625016313332,129999435.31264977,-0.07729716613425386,0.8145004855075632,129999425.39546038,3058.281461781369
