global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
27,153827690.56,-0.14760643107577898,153827690.46075726,1.0141974940151823,4996.846308754359,137275764.7179487,-0.18077601518478947,137275763.52114657,1.0641300961907778,5148.667173603084,129480920.0078194,-0.07300033428187569,129480918.81307095,0.9164416595280308,3146.211470810037
28,153465251.52842104,-0.14490252730431097,153465253.25133592,1.0148476948266532,4988.757236699849,136929307.07692307,-0.17779596224774852,136929305.73660082,1.0740937555460086,5144.297941659894,129373189.97401942,-0.0721076790245716,129373200.46554929,0.9137451449499774,3138.035853922089
29,153047280.33684212,-0.14178430188268853,153047279.45652676,1.0093316168116981,4976.185908861404,136494124.7179487,-0.1740527608698219,136494125.1260869,1.081963161585586,5136.126709289204,129196243.23016773,-0.07064120630520954,129196238.51218289,0.9071073284037928,3124.214812180504
30,152619420.4294737,-0.13859233205213584,152619420.79892576,1.0179529021553817,4968.900111600266,136095858.87179488,-0.1706270740138629,136095858.4161533,1.094111113690254,5131.782648971614,129098513.67309876,-0.06983133167241151,129098509.45448576,0.9070141255319587,3117.8155137478725
31,152108838.5768421,-0.13478322202362913,152108839.3116411,1.0175350564679766,4957.3381856570595,135536560.6153846,-0.1658162862523569,135536561.34828767,1.108054388872727,5123.475988473462,128932449.3671333,-0.06845512855828528,128932440.4999875,0.9037030749672893,3106.32249583854
32,151661614.31578946,-0.13144677007048067,151661613.95250383,1.0205262550493879,4946.3555238707495,135078258.87179488,-0.16187419441716422,135078257.94477397,1.1203655922002365,5116.44651556255,128801896.26283264,-0.06737333070659579,128801897.96860935,0.9002797683295398,3096.2189385183133
33,151071999.2505263,-0.12704805087593596,151071999.95561475,1.0170912143889752,4931.809414372678,134482005.53846154,-0.15674554793700213,134482006.96038714,1.13663022111547,5108.518461605755,128615321.59515701,-0.06582721351193,128615325.17029609,0.8954034911343798,3081.911900865872
34,150755749.5831579,-0.12468871528185099,150755749.42265132,1.0215361678283428,4925.587655807342,134083268.3076923,-0.15331580047728788,134083268.16898029,1.1503758527711083,5104.644279640186,128507999.04199773,-0.06493774651244788,128507991.55569482,0.8935704914286592,3075.9800609006666
35,150148078.18105263,-0.12015528179551382,150148078.02575353,1.027802507456213,4913.219713783297,133477157.74358974,-0.14810234894053642,133477157.83892243,1.1743269675241566,5098.739998722449,128322578.13267751,-0.063401221623677,128322576.27853152,0.8920454252609604,3064.1750384798147
36,149715185.9031579,-0.1169257495742273,149715184.422671,1.026412046560547,4902.841080800893,133005363.07692307,-0.1440442186526245,133005363.92832692,1.1803968517567405,5090.54408946862,128189379.4395258,-0.062297493149016336,128189387.33864655,0.891325431477014,3058.935622752908
