global_round,train_loss,train_mse,train_mae,train_mape,train_r2,dev_loss,dev_mse,dev_mae,dev_mape,dev_r2,test_loss,test_mse,test_mae,test_mape,test_r2
41,9957119259.00422,9957119238.883858,40608.50974324283,4.006691361610071,0.22714994602629235,10495234101.894737,10495234095.014643,42303.34843561524,4.2381991990285774,0.19515295958703038,410758042.3962669,410758044.5760272,12247.39882977539,10.509116491724436,-2.403926410001303
42,9786953233.2827,9786953204.235052,40474.316309722664,4.175113757232634,0.24035786549653881,10346507533.473684,10346507621.53679,42267.17713146461,4.446159167974441,0.206558332818921,435659142.8003531,435659133.0462459,12778.163183236577,10.9908009614266,-2.610280183958535
43,9578347107.375528,9578347137.482807,40275.55457926299,4.320695721505752,0.2565494170970385,10155349935.157894,10155349753.31984,42073.50560284916,4.579377223896716,0.22121763847072606,467982583.2180603,467982591.97974867,13336.482838783068,11.47517755184072,-2.8781426810641224
44,9408512395.341772,9408512382.654852,40322.153172745486,4.592056242247365,0.26973162334428535,10019124277.894737,10019124403.861748,42197.407219246816,4.84998714086004,0.23166433916820262,493765070.5208728,493765077.0672072,13892.262326930808,11.943513143050062,-3.0918005340594306
45,9200770750.109705,9200770760.682968,40042.04450362544,4.680600045679435,0.2858560786110833,9821742942.31579,9821742878.944218,41976.598232131255,4.954726885386949,0.2468009178022641,535544568.5781309,535544565.3318831,14478.120039964057,12.452518628949708,-3.4380245590745924
46,9008272790.14346,9008272776.713964,39922.29583192073,4.884696641551546,0.30079735567436283,9606599518.31579,9606599417.238323,41843.25095238184,5.157073853467325,0.26329960442998235,581855800.8566023,581855811.0032507,15218.439309393327,13.095020132955947,-3.8218029763263806
47,8810937233.822784,8810937254.080149,39864.214739158684,5.116524492917133,0.31611411202321715,9440997214.31579,9440997076.50416,41821.303522423696,5.405500135153421,0.2759991357237781,607026234.1843864,607026232.3975967,15628.948939661765,13.43695385697579,-4.030388695502034
48,8641957207.493671,8641957206.462246,39767.21998469739,5.273854193452117,0.32922997774590335,9279477248.0,9279477231.795652,41805.32081058151,5.590172579467148,0.2883855930247502,659634572.1397402,659634588.0549169,16380.391604887911,14.100302630173461,-4.466350872197879
49,8467447542.2784815,8467447554.615476,39817.40011078295,5.552691518874557,0.3427750393860236,9110644250.947369,9110644191.026556,42000.30890566424,5.949259625342588,0.3013328767114929,702012192.3430445,702012163.4919542,17113.100664762067,14.705836470177223,-4.817531208473081
50,8274171247.257384,8274171277.685637,39631.19073509566,5.708596033183518,0.35777672586515497,8937414736.842106,8937414767.508743,41776.261887914254,6.049571713423137,0.31461730539298216,745985329.9109597,745985335.1612787,17703.358690211564,15.225877468237234,-5.18193415164911
51,8081850352.877637,8081850356.054872,39547.82898083518,5.9573199693177425,0.3727042597327992,8747458101.894737,8747458159.71795,41701.1259450536,6.32036449792569,0.32918449009826944,806551016.8747635,806551026.3917558,18500.59547367161,15.885612529888762,-5.6838382741409745
52,7892937326.177216,7892937336.23894,39433.746738167254,6.16651280263357,0.38736727963427064,8579543902.315789,8579543913.685164,41818.00450386499,6.6451900069539445,0.342061314258567,838578050.1874133,838578062.9980888,19048.818409133008,16.36981228258999,-5.949244337827203
53,7697848026.194093,7697848000.34735,39382.92158566145,6.422167885875332,0.4025096918276202,8405827395.368421,8405827429.002998,41882.72481969783,6.909261191818845,0.35538309415424363,890569594.6485054,890569601.9351156,19688.351468156845,16.90480811356208,-6.380094992662278
54,7507057832.50633,7507057792.445565,39256.34788026991,6.631510554234728,0.41731841500718503,8222906718.315789,8222906819.873528,41685.60200230699,7.102156196061492,0.3694107098849233,953135753.1613066,953135753.4243325,20439.510572961004,17.513858470069934,-6.8985768051027625
55,7327914066.092827,7327914091.695519,39241.48699920489,6.873175868230145,0.4312231614978218,8036915173.052631,8036915116.398762,41744.19983328016,7.391349876125586,0.3836738383418805,1022923272.5801488,1022923270.6970683,21256.014821974713,18.193490850295696,-7.476901627391468
56,7147516215.088608,7147516251.381876,39065.80603663026,7.029080874021454,0.44522525158816484,7857284149.894737,7857284318.576668,41408.99086110215,7.461775182014715,0.39744916861896395,1083297136.3006685,1083297113.263102,21886.828292871698,18.733930837353387,-7.977215911913646
57,6959412094.379746,6959412113.4609785,38933.25339590849,7.229423198522371,0.45982548782688837,7725967575.578947,7725967632.798464,41498.2237098217,7.711613022712337,0.40751943908159527,1134843052.297137,1134843052.904845,22495.235791378956,19.248709991637813,-8.404373913057517
58,6747273326.177216,6747273358.824518,38887.83938940567,7.4606073407480284,0.4762912390183024,7532341571.368421,7532341684.274735,41446.59392604075,7.956488799654347,0.42236801417821956,1219218425.4539034,1219218433.8737586,23263.46191763424,19.88012374194354,-9.10358745598509
59,6596576981.873418,6596576974.443252,38926.36762626966,7.7494244887023,0.4879879663556522,7372493635.368421,7372493467.78359,41640.22352992861,8.343412723116424,0.4346262794816397,1282321321.9886494,1282321315.442826,24029.98803147465,20.529218741427208,-9.626517117269854
60,6426588676.320675,6426588676.328355,38774.82509950143,7.904088270124387,0.5011820903006541,7206459715.368421,7206459647.938906,41458.249484727254,8.524598414703929,0.4473588995738329,1357217050.1843865,1357217060.0957062,24777.046724740667,21.16488746168054,-10.247173502670156
61,6217635416.573839,6217635438.856268,38540.85653597091,8.130732401767412,0.5174005885413546,7014492806.736842,7014492823.810061,41122.297604021274,8.639250278671103,0.46208024155237615,1422633636.1367133,1422633611.0079832,25316.45978469069,21.60568160450505,-10.789276398138291
62,6059705813.873418,6059705813.324966,38556.465738247214,8.358718411776605,0.5296587444082914,6850699695.157895,6850699624.054908,41168.78286724342,8.91519455699501,0.4746410354202639,1497013670.3483415,1497013614.1864345,26114.939451893366,22.295777915091772,-11.405658865964188
63,5875463825.822784,5875463812.977331,38420.64462836282,8.566028663725533,0.5439592098839721,6693634101.894737,6693634063.388124,41063.47075001817,9.088352890709931,0.4866859074554205,1610730632.7657964,1610730607.3283796,27025.62141545277,23.029259133347974,-12.348024527046595
64,5719038879.864979,5719038853.848891,38409.63326478206,8.804188907487434,0.5561005767999316,6555885541.052631,6555885513.964755,41066.51541952083,9.334186931750821,0.4972494176468931,1655101811.1499557,1655101872.3136394,27550.957763333176,23.47063713490288,-12.715726444812777
65,5502788434.092827,5502788459.223101,38115.50897201405,9.015201099203399,0.5728854645921475,6353235186.526316,6353235192.63996,40864.21248823718,9.578925738242578,0.512790043980752,1736681626.926977,1736681612.241523,28191.218823898034,24.021458400187818,-13.39177268402444
66,5383028708.995781,5383028715.917673,38065.90853216175,9.128641568481356,0.5821809567778825,6255886740.210526,6255886745.197024,40852.87860670843,9.691197227186848,0.5202553953110727,1802204457.1814857,1802204432.5259683,28753.70123912221,24.46506945116616,-13.9347562271811
67,5186151474.767933,5186151510.774873,37904.73936644989,9.375690139299966,0.5974621395146137,6027165372.631579,6027165419.009038,40661.586067011485,9.938779548022133,0.5377953263688443,1941471208.9474082,1941471227.8332531,29723.508849535723,25.26043950731949,-15.08885151233131
68,5040210665.316456,5040210662.005436,37839.34606803922,9.638662258685752,0.6087897524659547,5905341601.684211,5905341554.438962,40671.05253833219,10.241077478055637,0.54713762173484,2019979125.668306,2019979104.1580966,30505.605642410377,25.9693972295783,-15.73944140860731
69,4888269762.43038,4888269757.685761,37650.967867331165,9.789798857667531,0.6205830767485148,5770256734.315789,5770256709.011366,40554.144544011666,10.408666563912934,0.5574968607058591,2122105473.1138856,2122105485.5820687,31186.41938168038,26.51093531602286,-16.5857563900844
70,4706444216.70886,4706444254.229369,37477.57111909822,10.005183613499609,0.6346959789633747,5653289849.263158,5653289873.795892,40583.22147691877,10.67484504073996,0.5664666855137083,2205252918.5642576,2205252975.71039,31815.771721341356,26.990469535000464,-17.274794477860013
71,4531373208.303798,4531373215.940112,37156.84995669655,10.159981338970132,0.6482846142046508,5510813264.842105,5510813247.81528,40561.487417133234,10.959035150615108,0.5773927772721561,2293152309.3212256,2293152318.18745,32336.612929741692,27.462896578273337,-18.003210870990525
