global_round,train_loss,train_mse,train_mae,train_r2,train_mape,dev_loss,dev_mse,dev_mae,dev_r2,dev_mape,test_loss,test_mse,test_mae,test_r2,test_mape
11,160108124.62678063,160108124.1260345,5713.02191258201,-0.24505021781602698,1.0409652242116618,171844203.4871795,171844205.89683372,6044.313805585001,-0.2594432738104939,1.0353980448714748,131318108.34052214,131318103.20521027,3303.407846088303,-0.08822496726234474,0.9929671082172601
12,159920676.83190882,159920676.24209702,5708.16995948155,-0.24359256518284877,1.0421828640970594,171650520.2051282,171650519.6125786,6039.229142743477,-0.2580237503144218,1.036451928687602,131254397.89027621,131254403.18801905,3298.5797798334424,-0.08769708917523755,0.9903941192381271
13,159728540.7179487,159728540.64346045,5703.1752595081325,-0.24209845943251018,1.0426139695308065,171453494.56410256,171453496.01112327,6034.006096657156,-0.2565797676771262,1.0365309354979608,131197397.45112877,131197401.49971755,3293.6815703769985,-0.08722471972371681,0.9878366981818153
14,159532182.1766382,159532181.97378635,5698.160388995364,-0.2405715137776141,1.0445213449884183,171252471.7948718,171252472.3837195,6028.849163946922,-0.25510646891741917,1.0382209792194856,131133549.10530962,131133547.5897322,3288.80355894363,-0.08669556633658004,0.9854036667206778
15,159307202.985755,159307201.7265097,5692.1734406980695,-0.23882199789636105,1.0440256875042073,171016796.30769232,171016795.69226614,6022.530115753007,-0.2533791984383489,1.0371740899657682,131053850.73199646,131053848.47349378,3282.0352333575083,-0.08603510470910858,0.9813776402402882
16,159107156.42165244,159107155.8291057,5686.219678420561,-0.23726637921994742,1.0434210850386592,170816961.43589744,170816960.93869248,6016.369230214888,-0.2519146129148022,1.0358424586476287,130992273.58405852,130992276.20157209,3276.2629163214224,-0.08552485911493068,0.9782118572560792
17,158890745.57264957,158890745.4101555,5680.542095687616,-0.23558350497029656,1.043873847902501,170595030.76923078,170595028.4080384,6010.398331175346,-0.25028807315739066,1.0354663131252027,130916344.93353513,130916345.639182,3269.790963571754,-0.08489562725919764,0.9746471153902967
18,158661902.7920228,158661903.06001568,5674.2510248773715,-0.23380395618448446,1.0438901275053014,170366566.76923078,170366567.43896532,6003.93240136018,-0.24861368658540406,1.0352371079467453,130839572.85483667,130839574.74244177,3262.949561481015,-0.08425943160488414,0.9710783395038131
19,158410561.32193732,158410560.93006718,5667.106971164539,-0.23184944216249526,1.0416879931672163,170111506.25641027,170111505.24134964,5996.656587561616,-0.24674434006007973,1.0328579098929556,130759102.61142641,130759105.43880026,3255.3548094117073,-0.08359258748222698,0.9665392716069393
20,158152001.0940171,158152000.93336004,5659.007064683212,-0.22983879977956834,1.0394736238836402,169852912.2051282,169852911.62290227,5988.34142097086,-0.24484911181130542,1.029935554178761,130674513.97174928,130674513.87922543,3247.5456735048497,-0.08289158248061534,0.962114716311135
