global_round,train_loss,train_mape,train_mse,train_mae,train_r2,dev_loss,dev_mape,dev_mse,dev_mae,dev_r2,test_loss,test_mape,test_mse,test_mae,test_r2
23,62884353.79157895,0.9882072625005267,62884354.603695154,2996.2344027920276,-0.14866174569543644,41048426.41025641,0.9829813565398885,41048426.344630904,3011.1619392715106,-0.25501127689133263,129936851.78332703,0.9307041972155163,129936852.84883712,3179.6789713102835,-0.07677863132573481
24,62757164.14526316,0.9806129015905992,62757163.790810965,2983.9762518060984,-0.1463384456936363,40932232.15384615,0.9743750241989699,40932232.13616117,2998.8351783421103,-0.25145876453154914,129795799.06621264,0.9237914641700119,129795795.34991013,3167.0979773636154,-0.07560969659087902
25,62668709.62736842,0.9853305842538364,62668709.40088707,2978.3740444997034,-0.14472271512623647,40864235.58974359,0.9792397445983735,40864235.387188755,2993.646352212852,-0.24937983741176462,129702819.55984361,0.9225679352936985,129702818.18774712,3160.439030689848,-0.07483920062131055
26,62563914.8631579,0.9758282628601479,62563914.408675805,2966.493971176744,-0.14280850292747638,40770359.025641024,0.9687092181454466,40770359.01279386,2981.823018270718,-0.24650966871126134,129586585.21301551,0.915257779809441,129586587.76608565,3148.2452791039345,-0.07387600633415459
27,62449778.11157895,0.9739631596864933,62449778.871404365,2956.7097053022176,-0.14072367393758967,40679188.76923077,0.9674045819554493,40679188.72971388,2972.7808448278274,-0.2437222358283997,129468762.16496405,0.9112378896390732,129468760.79710534,3138.6298176318405,-0.07289958155850229
28,62300263.41263158,0.9633511946132658,62300263.77220342,2941.5615795027925,-0.1379925927976413,40551450.615384616,0.9567205074934318,40551450.71329108,2957.9973374378915,-0.23981678401515816,129318213.92533737,0.9033990083242301,129318215.32491037,3124.4138052642593,-0.07165202057831621
29,62163760.22736842,0.9578641325796118,62163759.9522668,2929.0192508732334,-0.1354991790210247,40424857.84615385,0.9505619580007638,40424858.373480015,2944.7997796923064,-0.2359463600262559,129154470.35716988,0.8966299963495501,129154461.81952946,3110.5859576847756,-0.07029500544725109
30,62021000.690526314,0.9540262542742123,62021000.20816627,2917.012963303381,-0.1328914929295162,40301139.28205128,0.946143934200318,40301139.72274845,2932.67530456888,-0.2321637959755345,129027309.83982848,0.8919304037890359,129027310.346889,3100.096210821044,-0.06924130908875825
31,61926987.88421053,0.9529153740321222,61926986.28718988,2909.2831791198223,-0.131174210542363,40253068.102564104,0.9457948743334439,40253068.01096117,2926.4319401735215,-0.2306940553358814,128914251.23748265,0.8874667189214169,128914242.2594895,3090.133855762127,-0.06830432086927063
32,61767391.591578946,0.9388994907860352,61767390.80978066,2891.4218560024497,-0.12825899862930012,40092933.64102564,0.9312484711389769,40092933.96568955,2908.0730839756093,-0.22579812994905124,128760492.20683567,0.8778546233833787,128760483.72084726,3074.509750329128,-0.06703013340694652
33,61630235.05894737,0.9350750849554561,61630236.385812074,2879.187928481666,-0.12575370075261083,39956146.461538464,0.9270174433205282,39956145.896418184,2895.5252296643703,-0.2216159825498194,128601161.15701854,0.8718672979436665,128601156.29885232,3060.9444429188015,-0.06570979695407009
34,61491405.19578947,0.9299110585987242,61491405.90102914,2868.7008346990756,-0.12321778751931944,39868961.333333336,0.9218920288261254,39868961.46544574,2885.5683079211412,-0.21895041278787208,128460588.94463362,0.8671963760299285,128460594.24439374,3048.6947990363024,-0.06454496793676023
35,61332542.728421055,0.9222101043444262,61332540.89521209,2853.7237136251865,-0.120315918587663,39765737.84615385,0.9152150731990227,39765736.945181765,2872.1686737427417,-0.21579443462940762,128335580.19044016,0.8595974714492312,128335579.34493242,3035.332984063751,-0.06350897722753546
36,61228946.97894737,0.9175308679395051,61228947.2686243,2842.49546890915,-0.11842365084143003,39667971.07692308,0.9107901353045372,39667970.727335066,2862.1733155402308,-0.21280533816888858,128223122.10972379,0.8558379246762763,128223125.77115966,3026.36969182291,-0.06257708144431562
37,61067149.004210524,0.905786710584043,61067149.035914525,2828.608498096281,-0.11546820283522696,39519350.92307692,0.8988479337171353,39519350.52819704,2847.576907512493,-0.2082614361852635,128082826.84878294,0.849887198699515,128082822.43567531,3014.7204790879864,-0.061414396415080175
38,60966812.82315789,0.8900441172200382,60966812.34374176,2812.2314941418053,-0.11363542708814633,39445437.84615385,0.8849950710889212,39445437.82737024,2831.0547928148285,-0.2060016352305487,128006955.16862151,0.8353639785787284,128006957.40028878,2998.178815834293,-0.06078570757755686
39,60793186.85263158,0.8847772940780129,60793187.6598145,2799.045471316386,-0.1104639540915231,39309183.94871795,0.8792139521490597,39309184.5173402,2818.1711835825504,-0.20183583751723777,127814419.00012612,0.8313746628879273,127814422.5990248,2986.9431146608654,-0.05919018363463979
40,60718731.421052635,0.880551237873862,60718731.70790829,2792.727192146624,-0.10910392258236645,39259827.94871795,0.8748308971572303,39259827.47173563,2811.1654269516303,-0.200326799185105,127754162.64219952,0.8267581928965028,127754164.58659263,2979.330617687308,-0.05869082922724478
41,60485625.95578948,0.8733174600781533,60485626.7995794,2773.4921693952047,-0.10484596855518924,39087568.20512821,0.8668036781195527,39087568.38793339,2793.2513561634682,-0.19506016384801006,127512186.31504603,0.8191704617283825,127512180.63224064,2960.4212682118164,-0.056685523223157785
42,60336025.231578946,0.8577146590558802,60336025.93348613,2758.204301985018,-0.10211332077519364,39002146.15384615,0.8525750401406069,39002145.817420565,2778.955951540325,-0.1924484610656776,127462756.98927985,0.8083820420977365,127462758.68500729,2946.8925597416314,-0.05627596661521639
43,60253339.40631579,0.8513366018047452,60253337.95139335,2743.879283375783,-0.10060292089183154,38900742.15384615,0.8464644519813884,38900742.62410973,2764.5143521990008,-0.18934816801060572,127313476.59301299,0.7996256588388387,127313466.08648498,2932.742224610518,-0.055038788121360316
44,59971731.21473684,0.8316647544269833,59971731.56973825,2724.3103502375925,-0.09545902651636284,38764075.974358976,0.8293030365709569,38764075.8380217,2747.6887046223364,-0.1851697287136409,127084508.08853576,0.7899371662283735,127084501.04915728,2914.541457683235,-0.0531413690742637
45,59858910.00631579,0.8245059708334117,59858909.97763125,2711.2204531849393,-0.09339819838576546,38657982.64102564,0.8234992779401952,38657982.37965297,2733.9187024460675,-0.18192603587291467,126981002.82002774,0.7838458471984712,126981000.14795743,2902.016678378236,-0.0522836635327526
46,59533012.83157895,0.8157342068200187,59533012.47807193,2687.780110988576,-0.08744527109374256,38416755.666666664,0.8129457182466223,38416756.04781814,2710.60382477526,-0.17455080145603086,126672332.23105058,0.7799964642038569,126672333.5643637,2882.067813903571,-0.04972576272069662
47,59440424.74947368,0.7854001258789538,59440424.754160285,2665.75065074007,-0.08575403998787268,38362731.897435896,0.7825224527151342,38362732.075174615,2689.1983824934905,-0.1728990768729528,126669187.55807795,0.756756795087412,126669175.5560382,2859.640672856854,-0.0496995925017949
48,59319678.290526316,0.7798834767882294,59319679.483849354,2657.7044465069316,-0.08354847591945047,38247718.94871795,0.7750320945319565,38247718.954969116,2680.557816431786,-0.16938267501051585,126517258.67120697,0.7570427573804229,126517261.61841233,2854.368742806236,-0.04844069113355576
49,59124279.39789474,0.7756544108454199,59124278.724197045,2639.303798821388,-0.0799792355399167,38112679.179487176,0.7727617335284912,38112679.29738861,2663.680252697247,-0.16525398340932762,126403312.01917014,0.7482467457779465,126403318.07611336,2837.0096422786714,-0.04749644807367637
50,58783245.15578947,0.7598166464300016,58783245.803766996,2613.4151441374265,-0.0737498407693169,37933786.51282051,0.7542140467626892,37933785.91357803,2639.251785618181,-0.1597845115187715,126206615.93996722,0.7347251591599284,126206615.35952984,2812.416843499222,-0.0458663848753067
51,58594061.41578947,0.7422055545025048,58594061.92169379,2595.382511616179,-0.07029415946974504,37785615.23076923,0.7317153472447601,37785615.2403316,2621.0823742498,-0.15525435330350557,125964193.9046538,0.7256356642998043,125964193.18736045,2793.74738321498,-0.043857447387377624
52,58432250.71789474,0.7320303334384513,58432252.316234194,2578.8774154690536,-0.06733850372597772,37673683.58974359,0.7204294382253941,37673683.70740974,2605.370940263956,-0.15183216764217788,125870080.79833522,0.7162594459275712,125870079.7686461,2779.8995095561622,-0.043077535330322325
53,58429608.40421052,0.7165639187747415,58429610.61470937,2556.741338181433,-0.0672902497285528,37569997.07692308,0.7012492143756099,37569997.59389529,2581.5338515479784,-0.14866207676889664,125827170.78925464,0.6969792834601308,125827174.97185433,2755.843917160501,-0.042721985943417584
54,58110849.74315789,0.7230571830729318,58110848.99286675,2554.005464073102,-0.06146766820865057,37438036.23076923,0.7100785040839912,37438036.38063857,2580.5340717389035,-0.14462750527621626,125678109.19510657,0.703582767766756,125678113.5913281,2755.742688574185,-0.041486723538737724
55,57934205.53473684,0.7135367486723982,57934205.72589661,2531.578722348574,-0.05824105700015547,37290484.307692304,0.6944460952663432,37290485.05929518,2558.305631478102,-0.14011628307608937,125492642.6714592,0.6920012327326276,125492643.7708588,2734.5203465899117,-0.039949746652977014
56,57678343.75052632,0.7088934412922842,57678342.611331634,2512.9449461888876,-0.053567395742319945,37157113.48717949,0.6923892449692546,37157112.863092475,2539.6844717291874,-0.1360385723046007,125286132.49110858,0.6859272626526579,125286134.2297218,2715.4146385968656,-0.038238414908472684
57,57578083.93894737,0.7042951527886292,57578082.630384386,2506.767437894115,-0.05173602122215448,37087372.64102564,0.6839130341290018,37087373.427144825,2534.467543906962,-0.1339063644137668,125146892.731492,0.6847877480271912,125146887.77008802,2710.7916855397116,-0.037084488143785954
58,57230681.23578947,0.6880685655396775,57230681.250713944,2472.9316810192677,-0.045390298542100194,36841217.94871795,0.663409731322773,36841217.35127842,2500.495852193628,-0.12638040840039877,124814942.7890024,0.6686084247500373,124814943.96206357,2681.140715696484,-0.03433369041823675
59,57257740.42210526,0.6903970093960972,57257740.450968005,2474.7762461395873,-0.04588456883233105,36842914.84615385,0.665832443137289,36842914.72308828,2503.4428419588276,-0.12643230370923675,124946271.96771346,0.667710184959411,124946276.39517589,2682.0420149852353,-0.03542203413654943
60,56920083.78526316,0.6808557464049598,56920082.16154778,2444.529648855885,-0.039716815937063554,36627979.84615385,0.6575591866892152,36627979.186779566,2475.0182621069252,-0.11986088195466293,124742646.06961785,0.6554876868769182,124742648.81772792,2655.95082585949,-0.033734585046184984
61,56866618.65263158,0.6732089309683312,56866620.41918839,2424.402682723105,-0.03874027004272351,36481552.56410257,0.6486264177333598,36481552.5556074,2455.785533975619,-0.1153840459411355,124484806.31328036,0.6463510378721347,124484804.82388338,2636.134489734201,-0.031597847879628604
62,56554221.39473684,0.6769217367890085,56554222.348059505,2421.1541753629476,-0.03303392677186956,36384839.12820513,0.6568037825619021,36384839.56172069,2453.592457373722,-0.11242715066503628,124470256.94160676,0.6521553892566131,124470258.86389558,2635.699303968961,-0.03147730641241897
63,56099478.62,0.6775517729985568,56099479.712184176,2400.5143030385047,-0.02472748118204704,36303773.64102564,0.6532140703523834,36303773.152891144,2435.906524992333,-0.10994863281872491,124249980.08021188,0.6441046232255536,124249983.8282017,2617.588666209869,-0.0296519008692695
64,56068717.784210525,0.6655178610023548,56068719.14535885,2368.7526329841467,-0.024165600780938767,36037005.43589743,0.6368662877709318,36037005.284771994,2402.3545485723475,-0.10179249353116893,124080322.01816118,0.6319704153878393,124080323.99638781,2586.8826515572055,-0.028245940377798595
65,55986683.336842105,0.6647314017056615,55986684.17106821,2356.4762235663497,-0.022667128905531575,35977720.43589743,0.634223090453963,35977720.55697342,2389.1097211109904,-0.09997992704421077,124058343.94047168,0.6246604090846176,124058346.35492764,2573.2384350839575,-0.02806381302768668
66,55770081.24526316,0.6638310397739464,55770083.29063744,2338.68705720685,-0.01871064168382519,35835488.0,0.6314713012340627,35835489.20910054,2370.4861421309984,-0.09563135728396532,123773996.8654307,0.6133657331222852,123774001.85945626,2554.88143597787,-0.025707467849657162
67,55505184.12842105,0.6629987596578892,55505183.830853626,2342.512269863863,-0.013871920227166212,35766356.92307692,0.6315257485583669,35766356.03206399,2376.9551837725135,-0.09351768510419056,123640762.70046665,0.623197430959406,123640755.54549071,2560.3960335113643,-0.024603263919553253
68,55293444.830526315,0.6598560902341218,55293444.54737186,2323.2929758300693,-0.01000423618191748,35590610.666666664,0.6251393415297589,35590610.85206882,2357.4597262677094,-0.08814446614321336,123534799.26699458,0.6183440438736951,123534799.23812191,2539.243389766143,-0.023725210579584877
69,54809815.25684211,0.6694012911536634,54809815.81613058,2314.9846148897786,-0.0011701497673066719,35537971.56410257,0.6364475702313325,35537971.9665179,2349.4144768478013,-0.08653508910121066,123617887.26749906,0.6144364859067786,123617892.54312806,2532.6486088298943,-0.02441379963861756
70,54864957.83789474,0.6604053286194332,54864958.33311056,2290.628817417394,-0.002177397121842395,35328126.41025641,0.6238376831819439,35328126.400443114,2325.835017028145,-0.08011928768611076,123406350.90679783,0.6081438377734024,123406349.78198484,2506.786112869653,-0.022660757912452034
71,54338030.616842106,0.6663330412153409,54338030.037072934,2271.8737417484112,0.007447610246005043,35146451.87179487,0.6258927431861645,35146451.73444442,2308.1454386909804,-0.07456478109821929,123122090.68760248,0.6088397117704869,123122097.82475005,2493.325786360126,-0.02030517959304312
72,54467088.15894737,0.6698508577529018,54467087.95310953,2259.152014014721,0.005090205259269176,35161215.025641024,0.6295404889660083,35161215.85153795,2292.049370195621,-0.0750161780236498,123109237.07277083,0.5938978829497905,123109242.57434371,2478.055041968078,-0.020198648931153196
