global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
96,24367024.42877493,24367024.33157461,0.6976210976933384,2151.5590996928727,0.05426683123205456,28026131.948717948,28026131.860846434,0.657787325701784,2270.529911905527,-0.06557440890386768,122612403.58960778,122612403.12960756,0.705688016000777,2519.6203747540167,-0.016081371303119374
97,24230910.774928775,24230910.81132854,0.7184789805537487,2150.714656231357,0.05954967041105408,27861385.67948718,27861385.260883857,0.6698155418879264,2269.362290776359,-0.059310620460079955,122368199.1678648,122368197.96283893,0.7210379305887051,2522.7658574010734,-0.014057658249658544
98,24278475.42165242,24278475.410989776,0.7065681655142303,2135.9612987060364,0.05770359273875869,27807914.333333332,27807914.35197719,0.6580935571778731,2251.0221182618957,-0.05727761667508835,122302140.04464623,122302140.6005131,0.710589718718172,2501.466792322044,-0.013510244989796583
99,23642579.566951565,23642579.5742662,0.7242072295438456,2129.316519500571,0.08238398770564248,27786694.03846154,27786693.814862277,0.6723853893972472,2258.828202289911,-0.05647079604764249,122136766.98776643,122136772.3925641,0.7232712208325388,2507.3179146769608,-0.012139848918812257
100,23534887.290598292,23534887.232625484,0.7518573063867703,2135.9253947533075,0.08656374384352838,27670802.217948716,27670801.627497893,0.6893472977411883,2265.976517455557,-0.05206448876055303,122114464.93403961,122114473.26639329,0.7448462783610722,2523.053817422592,-0.011955057444865469
101,23696396.970085472,23696396.937875386,0.7064436872060965,2113.099394406545,0.08029522770244013,27609963.35897436,27609963.288553793,0.6590136293307075,2235.860884439964,-0.04975136979783179,122080272.43839072,122080283.26692306,0.7271902435393792,2497.807886777662,-0.011671727042231739
102,23344653.652421653,23344653.723958045,0.7383630576259208,2111.370583933664,0.09394708850267808,27560514.756410256,27560515.051043775,0.6754034185172563,2241.9840432520095,-0.04787131097566899,122003549.41505864,122003554.35110976,0.7379617466841529,2500.560515945835,-0.011035879281253047
103,23336431.784900285,23336431.772574637,0.7109324182574124,2092.8745626914542,0.09426619895414223,27496011.602564104,27496010.915784396,0.6590059033867968,2219.9340050095834,-0.0454188157065345,121892242.43536386,121892246.8220928,0.7274548020236293,2479.8336864918383,-0.010113480699762478
104,23041094.57834758,23041094.684910685,0.7027229487831588,2068.558945924227,0.1057288246720145,27393795.166666668,27393795.65359295,0.6469325830943305,2201.182070718696,-0.04153251530191948,121734302.82053222,121734306.74657772,0.7349846561818423,2476.371996058448,-0.008804641101019417
105,23268081.55698006,23268081.50941555,0.7054691016171561,2074.84744537523,0.09691900998613223,27320447.782051284,27320447.790712155,0.6501947285893387,2199.3328298440156,-0.03874377492127645,121697615.74044646,121697613.2857592,0.72768739679804,2468.592056539985,-0.008500564669641442
106,22721656.290598292,22721656.239520773,0.722150752638187,2069.6902351628596,0.11812687250395448,27246703.807692308,27246703.940334424,0.6717699165864156,2205.725671574975,-0.0359399788010446,121561618.54988019,121561626.18181254,0.7534817186537791,2475.939866039879,-0.007373647983149212
107,22553589.680911683,22553589.759867013,0.7275499322832488,2068.3467506528686,0.12464987023251439,27228212.410256412,27228212.200531494,0.6740618227218295,2207.847901609559,-0.035236909079973566,121605805.81485686,121605806.29226612,0.7562010570778042,2483.3434369138577,-0.007739765815180766
108,22637466.773504272,22637466.832591854,0.7299605661039159,2048.8399868682664,0.12139443252721138,27074109.025641024,27074108.85109185,0.6640977586616397,2182.141620954594,-0.029377784948802832,121454763.81031656,121454755.73656173,0.7523185787598534,2461.438038509781,-0.006488019239314635
109,22555962.787749287,22555962.85022211,0.7336243916382474,2035.9772185960683,0.12455776582818656,27055332.153846152,27055332.067470133,0.6550623762452837,2170.95342373208,-0.028663877649423464,121396811.83402699,121396811.94468646,0.7553006106964836,2459.7168459864006,-0.006007842633976468
110,22163801.85185185,22163801.71822065,0.7535534526861116,2029.04571363799,0.13977832723070394,26927075.051282052,26927075.23034108,0.6669131146054489,2170.31274364306,-0.02378745716834385,121302904.35439526,121302905.0740467,0.7710438128665407,2459.326820110851,-0.00522964222799005
111,22074611.565527067,22074611.67137501,0.7444471453927616,2027.6744039814143,0.14323997213564177,26919128.871794872,26919128.90823246,0.6707273465448014,2171.2858258911815,-0.023485332082873844,121219618.52768318,121219622.8170505,0.770837547852896,2456.228984277085,-0.004539487335548431
112,21965013.23931624,21965013.16060615,0.7602185323679725,2033.514220435979,0.14749371052697124,26820007.17948718,26820006.953365035,0.6910292477399761,2177.265146270036,-0.01971664152679997,121050566.64724429,121050571.0846006,0.7934105711164854,2464.6374678937104,-0.0031385661257479214
