global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
24,43061114.114285715,0.23354165693300122,0.5258793831431796,43061114.129926525,3892.8588034925956,50649568.84210526,0.1617964116812871,0.5244096380904174,50649569.306967884,3947.7933002482905,118579627.90414932,0.017337995994563316,1.5015642529012962,118579626.76821762,2926.186735426467
25,41239940.12571429,0.26595731000725176,0.4814600022634995,41239939.960119896,3664.7466728336844,48938450.0,0.19011386466252023,0.4808540282796123,48938449.45809363,3727.0289809399433,118566941.71043007,0.01744304319664769,1.644769843680881,118566950.5296275,3018.9183357298666
26,38457549.66857143,0.315481954591071,0.46517866000464386,38457549.51195242,3514.536504767798,46402642.421052635,0.23207911353999622,0.4653477377637208,46402643.34711373,3586.996518527893,118702020.2005297,0.01632374886068899,1.7491768966589911,118702017.83055168,3114.157437854824
27,36371300.65142857,0.35261575758587893,0.4371082148955991,36371300.54186605,3350.512622458791,44482442.315789476,0.26385666795468254,0.4389965005395002,44482442.256158,3433.169005503584,119290229.97099257,0.011449311771478787,1.8404751592412782,119290225.09651667,3186.2525683828917
28,33626105.40571429,0.4014783498332034,0.40371137630521703,33626105.4761739,3132.04258649106,42137166.0,0.302668826165003,0.40842935170033734,42137165.85240302,3233.2072830082557,120009160.36650272,0.005491482786263879,2.004830390416842,120009167.25011168,3329.0108934875875
29,32226255.737142857,0.4263947180824621,0.3874875860777737,32226255.65186216,3010.676898858856,40592320.84210526,0.3282345958224848,0.3919829428524096,40592320.13687712,3112.518480796955,120440148.7577248,0.0019200044572130759,2.0913955729070066,120440144.09214216,3412.7933126310786
30,31121417.754285716,0.44606007686654814,0.3687923994944302,31121417.709047236,2891.5996092615383,39912524.10526316,0.33948461001028907,0.37425704786905883,39912523.03119722,3004.491660666015,121150681.57775256,-0.003968142220928783,2.214225620706849,121150677.55390683,3525.7070559565877
31,28891239.09142857,0.4857557234545139,0.33888337655234035,28891239.404319454,2725.8140755963273,38132066.421052635,0.3689495188948506,0.34713482307579535,38132066.62959013,2858.6953623681084,121231821.55959137,-0.0046406278567645565,2.3431003026763966,121231827.62929323,3633.179540027239
32,28247695.36,0.4972103629339589,0.32197857842288213,28247695.57391662,2628.4285410150833,37850324.94736842,0.3736120976312446,0.3317189340173352,37850324.093350366,2770.566131828451,121525923.86379115,-0.007077870677578035,2.4528160369738403,121525934.19173032,3739.9308234658724
33,25728925.834285714,0.5420427418414782,0.3146690622777545,25728925.699055932,2493.651909271202,35734554.94736842,0.40862612761205275,0.3259675141905934,35734554.65148194,2655.068735169443,123097155.01450372,-0.020098411601662036,2.59997289462552,123097146.7519034,3886.703274412344
34,25383251.131428573,0.5481955127926534,0.29496223672474653,25383251.110814553,2397.902002706602,35127309.315789476,0.4186754807867741,0.30703189083386,35127309.08822421,2556.8315152133764,123137781.09370665,-0.02043516956908875,2.7157564982501077,123137783.95363289,3997.3980863164393
35,24923460.285714287,0.5563794750702995,0.2859639203632108,24923460.259999946,2343.471883972138,34839734.368421055,0.4234345632220837,0.2987639996776903,34839735.18731992,2504.340555076144,125178981.35351242,-0.03735039170427745,2.7949148044996397,125178974.84054652,4079.787701519069
36,24074308.148571428,0.5714938015967335,0.279663615683509,24074308.12350235,2294.424818747427,34374114.05263158,0.43114016542695466,0.29198458963752477,34374113.90107563,2458.7879779081986,125360163.29423635,-0.0388520039480762,2.8667319996680396,125360177.14479198,4144.186831992577
37,23209901.24,0.5868796490860201,0.2733993460309,23209901.41345118,2231.957783652012,33444925.36842105,0.44651737302253647,0.28725897386731797,33444925.63140682,2408.56889382789,125250723.09749022,-0.03794499800338835,2.9561850886892223,125250727.07349661,4237.0381787295655
38,22891627.94857143,0.5925447006660026,0.27131475698847674,22891627.844060045,2205.9849048954993,33221554.89473684,0.4502139400609957,0.28549064227320414,33221555.63988979,2386.276172257568,125635910.10367008,-0.041136989076453245,3.02392495547863,125635910.49215804,4300.235091923495
39,22865444.74857143,0.5930107404486529,0.2661539642548471,22865444.826481447,2181.091557458586,33127112.63157895,0.4517768718127625,0.2803716612207189,33127113.405107718,2359.192352661961,126123396.47118174,-0.04517677426952926,3.1075339777351103,126123398.7826039,4364.191659235295
40,21806427.671428572,0.6118605241974095,0.26656677670192697,21806427.4686931,2141.3138134289798,32091595.789473683,0.4689137314910813,0.28261268179024085,32091595.812392812,2331.682232984587,126974346.61319208,-0.05222846941965553,3.176955943046569,126974339.77307351,4445.341652419742
41,21322749.68,0.6204696587036682,0.26581089768059657,21322749.618634798,2125.79922215177,31891145.05263158,0.4722310074684727,0.28132075328636086,31891144.988907024,2319.2308559529974,127604280.57459956,-0.057448797083698766,3.2004640734726397,127604286.28925794,4476.088747239892
42,21356129.582857143,0.6198755163412717,0.2679213229942024,21356129.687242575,2111.7476085957032,31748174.210526317,0.4745970430986418,0.28299494222525756,31748174.131584186,2300.0190297937706,127083637.7021062,-0.053134190849010166,3.2966065688270887,127083634.83954711,4572.542745000614
43,20709132.76857143,0.6313916162743198,0.26581518105968993,20709132.889524534,2094.407432277969,31663489.36842105,0.4759984931154737,0.2810460050777202,31663489.645921037,2296.82948298517,127700438.52793543,-0.05824555653872898,3.3117770752748337,127700432.71439338,4580.141010978661
44,20714095.557142857,0.6313032905144149,0.27045566718106767,20714095.201778397,2094.4821863069387,31404044.57894737,0.48029207385839545,0.2856668667173668,31404044.305380464,2291.7110422583005,128256517.29801993,-0.06285375122794679,3.356350853844667,128256512.02151564,4625.129307654875
45,19774079.714285713,0.648034923833233,0.2695439649467392,19774079.637411673,2069.1348810865675,30904054.57894737,0.48856645153563405,0.28572160238017774,30904054.002933834,2283.364759631847,128426645.34594527,-0.06426367100863772,3.365094364570241,128426649.62802327,4648.870767367023
46,20544347.14285714,0.634324690328284,0.2740982064284822,20544347.108624976,2093.1150386668955,31374252.736842107,0.4807850979706697,0.28865696281376935,31374252.666102555,2285.809750338918,128628437.75406735,-0.06593584832688837,3.4285931146677813,128628434.3327134,4694.3309150818
47,19861788.868571427,0.6464737553021798,0.2721847873682751,19861789.109035052,2074.9230469254085,31121508.263157893,0.4849677859465934,0.28762283967401275,31121508.168848727,2285.346379568702,130959323.3618363,-0.08525178426170865,3.439557004963814,130959323.75806367,4702.14080494171
48,19673144.145714287,0.6498315016497862,0.27283752154303464,19673144.41620667,2066.4031241275584,31037919.63157895,0.4863511036450038,0.2884517194047172,31037919.352699976,2278.275070736283,129509186.66666667,-0.07323454268495477,3.459646938411067,129509181.17073809,4741.575797581465
49,20307783.057142857,0.6385353735894455,0.2817668701195915,20307782.768091734,2096.482745230198,31278646.89473684,0.48236726063987134,0.2976324137852049,31278648.377496053,2302.0334476608978,129138220.64623533,-0.07016035983171864,3.5076436034478236,129138213.88608873,4784.23662005302
50,19972965.42857143,0.6444948968521917,0.28440051019228013,19972965.209253266,2093.0781785179834,31476108.63157895,0.4790994746757763,0.30061598938834516,31476108.700948924,2308.0033906070807,129822293.39134821,-0.07582927934579775,3.5368750938925624,129822292.80378224,4813.770256436026
51,19953011.165714286,0.6448500701462341,0.2819880668503119,19953010.885722183,2086.044974358449,31071036.210526317,0.4858030644909447,0.2978661656963896,31071035.349223126,2293.713107115344,128527319.5278093,-0.065097965754495,3.4842425892936926,128527325.50556323,4764.67436003688
52,20023387.734285716,0.643597405825797,0.28105881513420905,20023387.99330637,2084.4364149722883,30968898.36842105,0.48749334159985913,0.2965700592443978,30968898.101460125,2287.3794330946707,128070746.48001009,-0.06131434273227909,3.4764498865105544,128070748.77421795,4771.546663528464
53,19483919.67714286,0.6531995763475866,0.28211219944440624,19483919.45666125,2078.4354986246994,31019820.842105262,0.4866506204812707,0.29798241254700525,31019820.64855635,2293.6674645699954,129675388.86770085,-0.07461197556205312,3.515173140026627,129675398.52299026,4798.614636201218
54,19744593.734285716,0.6485597545754067,0.2768224672786516,19744593.62986533,2074.659578676905,31173461.0,0.48410802401752917,0.2929324243587821,31173460.42963656,2288.081916332245,128337284.5806533,-0.06352320551570156,3.4841083710768053,128337296.29856794,4769.944214221282
55,19849043.56,0.6467006192217247,0.2825032625718662,19849043.454662763,2079.3001490232773,31041600.315789472,0.4862901921237095,0.29853974304800057,31041600.01258068,2291.8816393613815,129204215.90011351,-0.07070725480078388,3.5386399291506967,129204208.7053133,4818.588006860447
56,19562348.305714287,0.6518035971082347,0.2797875458847273,19562348.27395118,2072.598260586262,30999263.10526316,0.4869908260807744,0.29587297852125216,30999263.27164838,2289.010200086393,128970856.74612184,-0.06877357963909447,3.5050821809960397,128970868.57612394,4785.111762645432
57,19619151.594285715,0.6507925347569596,0.28118561708969964,19619151.7149921,2084.1782007512024,31340078.10526316,0.48135067155746847,0.29687180218909975,31340077.128104422,2297.333734449587,129303155.61710177,-0.07152723541734196,3.5316775429901317,129303157.27061072,4795.181926918294
58,18869246.562857144,0.6641403330105848,0.2803195731517957,18869246.558134347,2062.0410890517915,31071804.0,0.48579034155133927,0.29711640675755235,31071804.149810847,2295.443029642105,128021150.10367008,-0.06090343694736111,3.489092257937573,128021164.01932375,4762.857033879538
59,19319970.805714287,0.6561177454773417,0.2759815828887965,19319971.063270453,2062.666374234472,31194133.63157895,0.48376589120878544,0.2919176371878291,31194134.260732185,2280.505817476072,128594179.55404213,-0.06565204080376175,3.487445362035929,128594186.75823794,4773.837284137689
60,18848166.397142857,0.6645155451322877,0.2835186310640989,18848166.41445566,2065.6218879652024,31183949.89473684,0.48393443086665366,0.29989842554887486,31183950.027210485,2290.901039186277,129400685.69605246,-0.07233555815951664,3.5537110702508388,129400699.05881931,4830.16440609506
61,19250675.917142857,0.6573511542279971,0.2826204650014195,19250675.77088927,2069.8715704427445,31154684.315789472,0.48441876028049236,0.2988564847913346,31154683.776677206,2294.3894002688558,128975634.4931265,-0.06881309793062473,3.525340762507598,128975637.32086125,4798.371473739841
62,18982622.71142857,0.6621223182138434,0.2802994437579876,18982622.537748117,2059.8751216391156,31536340.10526316,0.47810269595065624,0.29653885784450146,31536340.384307552,2291.77931151892,129177304.89897843,-0.0704842684107998,3.5187871977345697,129177300.52855371,4793.740597860948
63,19311460.777142856,0.6562692239836792,0.2808975656491968,19311460.707412716,2068.4279051828385,31392572.157894738,0.48048192035695847,0.298004752071129,31392572.577603754,2294.3366735985405,128180073.25816622,-0.06222030265856415,3.518949192895637,128180072.62055367,4806.42499485177
64,19337422.22,0.655807121532635,0.29329405527631136,19337422.51807617,2096.9861883728845,31480680.0,0.47902384603390935,0.3096861062228666,31480678.662460916,2319.3972760627144,129411765.13860512,-0.07242721666754282,3.6120574963451593,129411759.65913516,4881.596014389671
65,18666011.851428572,0.6677577704031551,0.2797386857885689,18666011.919450644,2057.02330413614,31219174.47368421,0.48335149435265723,0.29578201871168147,31219174.743232578,2285.171857720927,129429738.33774751,-0.07257614893102593,3.5241698503523016,129429731.5885937,4795.438278854472
66,18134519.394285716,0.6772179720727876,0.2812495725066256,18134519.467873853,2044.440650034632,30832230.52631579,0.48975504657373325,0.2983698334473947,30832231.56313627,2282.037793172033,130328681.22739312,-0.08002572370892258,3.553251495740275,130328685.44367734,4842.27745062503
67,18971603.757142857,0.6623184480065347,0.28438552195677486,18971603.586145908,2068.184207545008,31120648.36842105,0.48498201805231456,0.30065809462199444,31120648.174886454,2289.6445919714474,129417422.00882836,-0.07247410566234813,3.5767786412855753,129417417.84015863,4862.537690706189
68,18995495.09142857,0.6618931913193817,0.2853014466629517,18995495.33043397,2073.5383686385835,31371315.57894737,0.4808337000174353,0.3014127274773672,31371315.822631083,2294.454340696335,128658761.9568672,-0.0661871607784752,3.5493004733428286,128658760.66729221,4816.548112884418
69,19178361.182857145,0.6586383061013166,0.28157437076692915,19178361.085791353,2072.268112432616,31635567.684210528,0.47646059400460894,0.29762034802378023,31635566.583627764,2295.1992874521957,128964492.37886241,-0.0687207439137203,3.5189949622652326,128964492.79221311,4791.86448831278
70,18784865.377142858,0.6656422578916026,0.28677114689676186,18784865.509508424,2074.1857663611004,31369145.42105263,0.48086961258439576,0.3025369151680455,31369145.757894304,2296.0182015895844,129254828.62000252,-0.07112677907990328,3.5602749527701634,129254833.46971388,4834.328494120673
71,18825705.045714285,0.6649153446850047,0.28686641850096406,18825704.901283596,2070.765839717729,31182145.736842107,0.4839642933085565,0.302487088836682,31182145.549346257,2289.740343407581,129732152.38491613,-0.0750822070016639,3.5754533557512667,129732142.21347229,4845.651575610743
72,18212428.582857143,0.6758312405479174,0.27949154878254645,18212428.73065394,2041.8552356413431,30879092.842105262,0.48897953222378876,0.29624145684342834,30879093.051637944,2276.243497559899,128766795.70437634,-0.06708243624916999,3.520038561889323,128766795.20077068,4801.135035845472
73,18188067.89142857,0.6762648456556221,0.28308953252670516,18188067.955930725,2044.6609171751568,30826558.684210528,0.48984891427336286,0.29959096553430503,30826559.48224287,2280.217902346661,129152487.02787237,-0.07027853805094542,3.5467101878888734,129152474.66860697,4824.105178577059
74,18707620.477142856,0.6670171666056846,0.28505968375068313,18707620.475135904,2061.113022400311,31067619.52631579,0.48585959736615036,0.3012726562287075,31067619.274869874,2287.1023371219635,129090245.29347964,-0.06976290877592373,3.566678699647618,129090252.7380412,4832.302215456857
75,18333388.33714286,0.6736782420241251,0.28371690406490946,18333388.357479326,2052.2112228305,31275786.63157895,0.48241462039097993,0.29962040577212545,31275786.601395875,2283.395064065331,129214447.64030772,-0.07079220968124811,3.5609378023514866,129214460.36659308,4833.633635046684
76,18713795.442857143,0.6669072549059581,0.2816401606535082,18713795.527294897,2067.3703252022606,31777330.36842105,0.4741145230220769,0.2979581516964734,31777331.050500505,2298.571741618608,128836929.72228529,-0.0676636239540469,3.533368487783294,128836928.18733743,4825.975030070341
77,18648514.631428573,0.6680692085304898,0.2850018817576352,18648514.722288035,2069.0117495965956,31651362.94736842,0.4761991813894826,0.30080886638688914,31651362.789408885,2297.597372494246,128465837.20317821,-0.06458846183651357,3.536901993684721,128465842.73306882,4821.854684230012
