global_round,train_loss,train_mape,train_r2,train_mse,train_mae,dev_loss,dev_mape,dev_r2,dev_mse,dev_mae,test_loss,test_mape,test_r2,test_mse,test_mae
22,18509078165.21143,0.7679324550679951,-0.14742980372330772,18509078196.18595,58621.24418881825,18477507476.210526,0.783718518599362,-0.15056475914166412,18477507427.264355,58849.62572286004,129881144.82936057,1.7583125744109247,-0.07631697789112035,129881144.28195484,3269.8595920446796
23,18394959011.84,0.7864017969036481,-0.1403552317631538,18394958966.24253,58401.10058506693,18363766406.736843,0.8035469461338973,-0.14348228985464928,18363766433.709316,58629.90362087049,131243277.45163324,1.9205875861713384,-0.0876048898544417,131243277.32683416,3389.744887041315
24,18288367060.114285,0.7935330228201052,-0.13374729023810006,18288366906.313316,58175.52098592758,18259251415.57895,0.8126169493194745,-0.13697431446549557,18259251531.237206,58407.02024459839,132869806.68028755,2.102968181190654,-0.10108385039657586,132869808.22331212,3530.8823521922345
25,18170978807.22286,0.8171685518552041,-0.12647008673969462,18170979046.799404,57951.075000190736,18141867654.736843,0.8389769481874837,-0.12966500760317712,18141867637.1421,58184.23882557217,134946945.84739563,2.2933113306779083,-0.11829694162268534,134946943.5198836,3689.484780469267
26,18052253742.811428,0.8302277154967755,-0.11910997701440262,18052253835.029686,57709.66557823862,18026005072.842106,0.8547999002924255,-0.1224504290563928,18026005033.47411,57947.844791977026,137322293.3762139,2.496266072207878,-0.13798135012190338,137322297.20556194,3857.915525188391
27,17928676158.90286,0.8681203832599182,-0.11144905138499728,17928676191.264713,57497.0868536881,17905398137.263157,0.8917124960574675,-0.11494043240428886,17905398159.488586,57736.21558220763,139846141.45743474,2.69842199178827,-0.1588962321728875,139846134.39210007,4031.8278383372153
28,17811527808.73143,0.8964569217334182,-0.10418668278861531,17811527632.10774,57261.0467144244,17785740988.63158,0.9223660323801165,-0.10748956706231083,17785740905.42959,57496.90475226704,142809500.85357547,2.935208734982058,-0.18345355038965727,142809511.03300336,4239.372956011211
29,17673808831.634285,0.9224633807891772,-0.09564909946093114,17673808708.557217,57029.91772395679,17652950986.105263,0.949073127088629,-0.09922095619385951,17652951058.077625,57271.05363573526,146570343.07277083,3.1297992009266484,-0.21461934929515158,146570345.16221875,4422.826439755368
30,17559177058.01143,0.9586145617727679,-0.08854276860722177,17559177179.000927,56800.498601868494,17542649909.894737,0.9848111383348757,-0.09235268596287427,17542649996.623104,57044.090761950145,150111242.4956489,3.377646810941004,-0.24396258572600638,150111247.33403313,4646.007646444963
31,17413431828.48,0.9995082729244618,-0.07950760344425323,17413431811.42011,56534.01473859106,17395989342.31579,1.0379875981528868,-0.08322034446880622,17395989057.771786,56786.80357040857,154757820.4762265,3.637367851961182,-0.28246837397984725,154757811.44350815,4892.891641775346
32,17266977160.045715,1.0345056363166778,-0.07042847289497844,17266977242.482983,56270.569703844616,17250453773.473682,1.0701321363132403,-0.07415809398555728,17250453746.281036,56519.37247844746,160050795.7296002,3.8846558376504805,-0.3263309570731585,160050789.8135826,5136.653056404151
33,17153048505.782858,1.054883997701763,-0.06336570530684371,17153048427.712717,56050.91963604382,17138670645.894737,1.094587464729805,-0.06719752955415315,17138670485.09792,56304.33050106701,164480404.8157397,4.095295574174077,-0.36303887317400085,164480401.39206472,5342.473845238553
34,17016009534.902857,1.0881507114659608,-0.05487027597939842,17016009486.226606,55782.129363279346,17005386752.0,1.137849725689573,-0.0588981599554228,17005386667.57812,56048.359321882854,170235979.12574095,4.365779201469185,-0.4107349565275531,170235975.27129933,5612.352134932635
35,16879362638.994286,1.130039884430092,-0.046399153992431996,16879362644.077822,55528.00186312948,16872139614.31579,1.1698005022172724,-0.05060107304916772,16872139508.983276,55787.003088486825,176563912.86770085,4.62849257382784,-0.46317415185578303,176563909.17400548,5875.607878811168
36,16729688543.817142,1.1752355241607126,-0.037120436344163954,16729688555.1228,55253.92971647944,16721605793.68421,1.2143817042505531,-0.041227590611780274,16721605964.495642,55507.59013902514,183464208.45100266,4.902870012745778,-0.5203564730300303,183464204.77406317,6154.6791364054225
37,16585954590.72,1.2143462693581246,-0.028209957602049585,16585954492.02972,54982.08031114715,16578286592.0,1.2598497842417122,-0.032303322035653226,16578286574.962708,55240.55290273616,191008760.49741456,5.193933741270257,-0.5828777266550544,191008759.14750713,6456.749268655804
38,16432665482.971428,1.2728765350359579,-0.018707138644046717,16432665446.715464,54732.76347204617,16424470635.789474,1.319681346140579,-0.022725459175315654,16424470780.820679,54990.02766570292,198990826.3448102,5.464995988834924,-0.6490245046078873,198990812.19280195,6738.837574279839
