global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
62,122895080.07142857,0.6018886776440056,0.02229269510401155,2511.1674802232355,122895077.34598546,173033067.78947368,0.512241130809671,-0.02569375062795931,2429.8444494808973,173033088.96928853,124853119.45415562,0.49744533179482786,-0.0346500539464456,2420.896316534094,124853120.12939797
63,122168528.61904761,0.6030917586162452,0.02807279893994208,2499.120617892061,122168534.43848403,172934834.7368421,0.5138622473048845,-0.02511133868760984,2418.7830218076706,172934836.89645532,124799482.88233069,0.5009877841505406,-0.034205611491258114,2410.4898352640425,124799488.44297756
64,122386829.61904761,0.6089712891055556,0.026336126087521117,2488.7581151432933,122386829.36525218,172802422.10526314,0.5169868968177633,-0.024326374537295914,2407.309983303672,172802414.5515051,124627121.73187035,0.503405340537812,-0.03277720405694451,2399.0127125245835,124627119.89739072
65,121806424.11904761,0.6093254056123502,0.030953621487324057,2484.5473356587545,121806423.09083666,172710652.84210527,0.5205345152152259,-0.02378237272953143,2404.1516006808533,172710642.2138607,124461650.97591121,0.5075274723461601,-0.0314060874093105,2396.61982095646,124461664.73613548
66,121755242.85714285,0.6200657304514194,0.03136073629419622,2473.718193715527,121755249.896744,172489036.52631578,0.5267576750325776,-0.022468815041315038,2395.661446634092,172489046.8846581,124218848.76049943,0.5137154520861291,-0.02939386220685103,2387.6376163955592,124218845.82942224
67,122145463.71428572,0.6270954904049681,0.028256363374215887,2465.042362350882,122145460.90181811,172541986.9473684,0.5338548379971693,-0.02278265048094874,2385.924523438278,172541990.48065314,124274022.02118805,0.5211307294765727,-0.029851058285806475,2379.4268609233486,124274016.51901993
68,121692024.76190476,0.6432946856170533,0.03186371528877863,2454.6239022271975,121692026.84201886,172284952.42105263,0.5448451265448139,-0.021258967605678913,2375.7039267577625,172284947.3287804,124012296.86164711,0.5317079405124852,-0.027682157701523602,2368.6749127402795,124012291.30655287
69,121781154.8095238,0.6516187113677772,0.031154622900215645,2446.466888993269,121781157.77466252,172094310.7368421,0.550309653150059,-0.020129007754814188,2367.6205881520323,172094324.69577062,123861128.2782192,0.537141829214817,-0.026429458073156775,2360.842664999835,123861125.74425481
70,119072753.8095238,0.6607750582261248,0.05270164501561381,2440.724324206511,119072757.27873984,172014136.0,0.5581538941143822,-0.019653704015341944,2367.0949671456688,172014141.62534714,123781625.40244672,0.5447983688026314,-0.0257707524140951,2359.839445508884,123781638.52394582
71,119840281.92857143,0.6677297873603032,0.046595504215171335,2439.133034653607,119840282.1220115,171951337.78947368,0.5641214898670955,-0.019281517061440212,2365.285683337011,171951354.21120107,123702100.79909194,0.55099037873565,-0.02511166050761049,2358.2518975783123,123702104.69445172
72,122537086.59523809,0.68659014189427,0.025140748087020826,2437.2999780675664,122537085.04104955,171788949.78947368,0.5783259174809583,-0.018318722515815455,2359.2740403421617,171788932.12939525,123589123.10152604,0.5641302491362653,-0.024175283285382765,2352.8888808678735,123589110.33721247
73,123162972.71428572,0.6906105322451824,0.020161460084608285,2435.5553251632623,123162967.63507345,171763322.63157895,0.5829227324493143,-0.018166856683768495,2356.629812905663,171763312.5777387,123552165.00668432,0.5680991616632842,-0.02386915124121436,2350.1823132472014,123552168.82182741
74,120231417.26190476,0.6991541984555427,0.043483773400432524,2429.4626721860395,120231417.9939051,171710527.57894737,0.5919444773365014,-0.01785400484430899,2356.2727575082527,171710534.9137057,123556959.21780805,0.5772583380816978,-0.02390879019872738,2350.4878001699594,123556952.12755026
75,120056190.1904762,0.714460232921841,0.044877845229100655,2427.9015355095976,120056187.05888793,171531637.0526316,0.6057621087140748,-0.016793505742816572,2355.2376430740483,171531630.21113923,123340411.90314037,0.5905904324778132,-0.022114356647953803,2349.0400590842482,123340414.53899613
