global_round,train_loss,train_mse,train_r2,train_mae,train_mape,dev_loss,dev_mse,dev_r2,dev_mae,dev_mape,test_loss,test_mse,test_r2,test_mae,test_mape
11,89835757.76371308,89835756.90641256,-0.11329680085596561,4815.012456448941,0.794213580365459,65060034.526315786,65060034.95062739,-0.05911884593441186,4439.217289587875,0.7626466346273603,123667249.16509017,123667250.55022474,-0.02482282637861699,2959.081357319428,1.1595385359960868
12,85843872.57383966,85843871.05455814,-0.06382703624006258,4609.636333715947,0.7669172914225543,62129272.10526316,62129272.06249892,-0.011408662407188075,4297.052739641801,0.7530958302122519,123605335.81283894,123605339.4096826,-0.024309772601222912,3016.4893909064167,1.2557530704435784
13,81620814.56540084,81620813.78752917,-0.011492461376818142,4358.281359609931,0.7474479433006218,59398806.526315786,59398806.45516112,0.033040861560971524,4155.263421347414,0.7555614469046941,123688515.8791777,123688530.31100094,-0.024999170434834683,3110.463946590419,1.3997210363826542
14,78804151.30801688,78804150.76434281,0.023413260362348698,4157.856791441927,0.7266300242089475,57520992.7368421,57520991.7945498,0.06360999509639997,4073.3856765589626,0.7579573724095321,124139794.7511666,124139796.88761784,-0.028738788534542703,3193.64640408504,1.5103745224592624
15,77136877.05485232,77136879.9741715,0.04407504694685971,3912.9006974234803,0.6962748869080312,56563008.631578945,56563008.94210591,0.07920509420563515,4032.3235060170687,0.7717499956645085,125204978.1626939,125204983.086013,-0.037565920419515564,3320.029980878088,1.6665608474311424
16,72442936.71729958,72442936.94108136,0.1022451113187044,3694.7398495534553,0.6855987251623078,55242371.2631579,55242372.024390236,0.1007038752814654,3956.6150802446923,0.7665695633364329,125266949.62593013,125266953.87933166,-0.03807946853576438,3384.442016199387,1.7631358859016995
17,70096709.4092827,70096709.89460628,0.1313209175997555,3503.9535722407986,0.6765294707915243,54158913.473684214,54158914.492522225,0.11834158930424155,3910.175401262179,0.7822757029558601,125957119.34972884,125957112.35600272,-0.04379876897758961,3503.5175819268275,1.8974750627092163
18,70880016.40506329,70880016.39122143,0.12161372920616509,3335.467835090758,0.647878373455991,55261914.631578945,55261913.82126261,0.10038575240669811,3932.0087372593484,0.7963445249088794,127391970.0143776,127391986.26328264,-0.055689479950890686,3620.8829504960963,2.03533160868514
19,65292276.74683544,65292278.85663467,0.19086021340686965,3131.333535734348,0.6350396563673164,54860412.7368421,54860413.49356719,0.1069218165824054,3890.7220724681883,0.8057526545271214,128024866.95724556,128024870.95785712,-0.06093415611681041,3734.1423941625594,2.1657787941874953
20,61585959.32489452,61585958.87733186,0.23679108011292882,2997.85199239149,0.6280050794671316,54191978.94736842,54191980.42960773,0.11780330559209307,3875.8927602850295,0.8180012786595039,128921658.75495018,128921654.09086257,-0.06836574225563274,3843.6674558951286,2.2860227880634247
21,60940969.69198312,60940968.007477395,0.24478418104197586,2901.732184023482,0.621344004032909,55038068.315789476,55038068.90215772,0.10402974633585249,3874.3830569391384,0.8182393607849614,128918343.34266616,128918348.58309603,-0.06833834971802188,3914.6230530910225,2.384521101292639
22,60598974.39240506,60598976.49943119,0.2490223381515595,2807.1509883949425,0.6248278277398205,55727792.21052632,55727792.45540915,0.09280166731179718,3910.742247030727,0.8397801139136947,130362991.2246185,130363001.68314706,-0.08031010025459295,4046.2724318243936,2.521833651451516
23,59282183.85232068,59282184.08860015,0.2653407933953531,2694.349899421572,0.6233439917560829,59528052.7368421,59528052.48110852,0.03093685251844802,4024.5723951304526,0.871004139304345,132524099.83200908,132524115.78714125,-0.09821911864327748,4209.535568938218,2.688147232558226
24,62389940.8649789,62389941.9249813,0.2268276559073198,2628.1662233980405,0.643370714153113,61632071.368421055,61632070.22640733,-0.003314663760593195,4071.647405033049,0.8949271710132173,133303559.4859377,133303564.14192618,-0.1046783587607123,4298.092951508364,2.789440571699313
25,63507048.50632911,63507049.22243378,0.21298381439817216,2591.3246569548683,0.6573548679151701,60665147.368421055,60665147.23069993,0.01242597283909852,4017.5359426110394,0.8873773378477656,133217295.75028376,133217300.3960634,-0.10396349645516434,4347.81530521935,2.8605446198497417
26,82352103.39662448,82352106.23827788,-0.02055506154789266,2553.5796972249677,0.6667985638735009,63597030.315789476,63597030.64372974,-0.035302451825580006,4099.618374969712,0.9090609043486239,133961395.06772608,133961402.03371942,-0.11012982052255271,4421.40292944086,2.9454772837173975
27,70332853.57805908,70332853.7705975,0.12839448573413847,2520.946678347198,0.6774916228586652,61519146.94736842,61519146.23734419,-0.0014763627964817783,4005.0136152749487,0.9006953109126746,133589558.19750284,133589550.15317097,-0.10704830707802837,4463.134371265816,3.0169988958810197
28,60805086.1814346,60805087.84869563,0.2464680867748471,2500.936676456487,0.6877751657478155,59270443.78947368,59270443.80137649,0.03513049009929958,3996.7744188390084,0.9098271680045391,133750689.19510657,133750684.37117557,-0.10838361633724669,4511.58997840535,3.0713960441068697
29,79954721.64135021,79954721.11003241,0.009154725352170101,2505.4670624953933,0.7196394672460027,67354291.57894737,67354290.18380652,-0.09646725739296169,4164.00156491588,0.943043058150189,135008405.05587086,135008396.63365933,-0.11880619976070683,4607.3555464194305,3.171506709143103
