source,source_row,source_col,method,metric,train,dataset,value
Mar23.csv,15,8,compare_sdv_xgb,test_f1_macro_end,synthetic,Covertype,0.5925999127376259
Mar23.csv,15,9,compare_sdv_xgb,test_f1_macro_end,synthetic,MNIST12,0.8754956119144719
Mar23.csv,15,10,compare_sdv_xgb,test_f1_macro_end,synthetic,MNIST28,0.8608293168606955
Mar23.csv,15,15,compare_sdv_xgb,test_f1_macro_max,synthetic,Adult,0.7692390179912588
Mar23.csv,15,16,compare_sdv_xgb,test_f1_macro_max,synthetic,Census,0.7734106448478515
Mar23.csv,15,17,compare_sdv_xgb,test_f1_macro_max,synthetic,Covertype,0.6037591743818826
Mar23.csv,15,18,compare_sdv_xgb,test_f1_macro_max,synthetic,MNIST12,0.8770008373139151
Mar23.csv,15,19,compare_sdv_xgb,test_f1_macro_max,synthetic,MNIST28,0.8707822087272559
Mar23.csv,15,24,compare_sdv_xgb,test_f1_micro_end,synthetic,Adult,0.8104136048708797
Mar23.csv,15,25,compare_sdv_xgb,test_f1_micro_end,synthetic,Census,0.8244803695150116
Mar23.csv,15,26,compare_sdv_xgb,test_f1_micro_end,synthetic,Covertype,0.7671574744197655
Mar23.csv,15,27,compare_sdv_xgb,test_f1_micro_end,synthetic,MNIST12,0.8766
Mar23.csv,15,28,compare_sdv_xgb,test_f1_micro_end,synthetic,MNIST28,0.855
Mar23.csv,15,33,compare_sdv_xgb,test_f1_micro_max,synthetic,Adult,0.839806844
Mar23.csv,15,34,compare_sdv_xgb,test_f1_micro_max,synthetic,Census,0.8418013856812933
Mar23.csv,15,35,compare_sdv_xgb,test_f1_micro_max,synthetic,Covertype,0.7678459248040068
Mar23.csv,15,36,compare_sdv_xgb,test_f1_micro_max,synthetic,MNIST12,0.8779
Mar23.csv,15,37,compare_sdv_xgb,test_f1_micro_max,synthetic,MNIST28,0.867
Mar23.csv,16,2,ctgan,test_f1_macro_end,mix,Adult_mix,0.7798523671447183
Mar23.csv,16,6,ctgan,test_f1_macro_end,synthetic,Adult,0.7690919815680533
Mar23.csv,16,7,ctgan,test_f1_macro_end,synthetic,Census,0.7598101739997537
